iso3,concept_id,category,computed_score,n_present,n_absent_penalty_relevant,f,floor_low,floor_sd,floor,penalty_w,penalty_regime,penalized_score,relevance,measurement_quality,effective_weight,weighted_contribution,low_confidence
COG,1,Political foundations,0.3562497742942522,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.3562497742942522,1.0,1.0,1.0,0.3562497742942522,False
COL,1,Political foundations,0.4887543469131705,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4887543469131705,1.0,1.0,1.0,0.4887543469131705,False
COM,1,Political foundations,0.5203184125753403,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5203184125753403,1.0,1.0,1.0,0.5203184125753403,False
CPV,1,Political foundations,0.6482125929225141,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6482125929225141,1.0,1.0,1.0,0.6482125929225141,False
CRI,1,Political foundations,0.664757044012729,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.664757044012729,1.0,1.0,1.0,0.664757044012729,False
CUB,1,Political foundations,0.5131150245655363,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5131150245655363,1.0,1.0,1.0,0.5131150245655363,False
CYP,1,Political foundations,0.610925517794887,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.610925517794887,1.0,1.0,1.0,0.610925517794887,False
CZE,1,Political foundations,0.6624610482305306,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6624610482305306,1.0,1.0,1.0,0.6624610482305306,False
DEU,1,Political foundations,0.7268052099440587,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.7268052099440587,1.0,1.0,1.0,0.7268052099440587,False
DJI,1,Political foundations,0.4394861591618368,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4394861591618368,1.0,1.0,1.0,0.4394861591618368,False
DNK,1,Political foundations,0.7642859167666737,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.7642859167666737,1.0,1.0,1.0,0.7642859167666737,False
DOM,1,Political foundations,0.5006897569935242,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5006897569935242,1.0,1.0,1.0,0.5006897569935242,False
DZA,1,Political foundations,0.4822424575842006,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4822424575842006,1.0,1.0,1.0,0.4822424575842006,False
ECU,1,Political foundations,0.4095984540578544,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4095984540578544,1.0,1.0,1.0,0.4095984540578544,False
EGY,1,Political foundations,0.334631165211215,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.334631165211215,1.0,1.0,1.0,0.334631165211215,False
ESP,1,Political foundations,0.5771147932472811,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5771147932472811,1.0,1.0,1.0,0.5771147932472811,False
EST,1,Political foundations,0.6181366817498511,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6181366817498511,1.0,1.0,1.0,0.6181366817498511,False
ETH,1,Political foundations,0.3312571130213964,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.3312571130213964,1.0,1.0,1.0,0.3312571130213964,False
FIN,1,Political foundations,0.7328737546497536,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.7328737546497536,1.0,1.0,1.0,0.7328737546497536,False
FJI,1,Political foundations,0.5083886409852078,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5083886409852078,1.0,1.0,1.0,0.5083886409852078,False
FRA,1,Political foundations,0.6486340260616416,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6486340260616416,1.0,1.0,1.0,0.6486340260616416,False
FSM,1,Political foundations,0.6119270957037884,3,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6119270957037884,1.0,1.0,1.0,0.6119270957037884,True
