iso3,concept_id,magnitude,breadth,n_slope_metrics,n_improving,n_flat,n_deteriorating
AUT,13,-0.0007124252135409719,,2,0,2,0
AUT,14,-0.00400232874008922,-0.2,5,0,4,1
AUT,15,-0.01416383106878462,-0.2857142857142857,7,0,5,2
AUT,16,-0.005290993874079265,-0.2,5,0,4,1
AUT,17,-0.00015399099519812037,,2,0,2,0
AUT,18,0.00917027554624731,0.25,4,1,3,0
AUT,19,-0.0011623842813781968,0.0,5,0,5,0
AUT,20,0.007048415943657006,0.1111111111111111,9,1,8,0
AUT,21,-0.00032511361249405984,0.1111111111111111,9,2,6,1
AUT,22,0.004561263231366331,0.0,8,1,6,1
AUT,23,-0.004172610638206911,0.0,8,1,6,1
AUT,24,-0.002805260216049437,-0.16666666666666666,6,1,3,2
AUT,25,0.006519873678655735,0.3333333333333333,3,1,2,0
AZE,1,0.0014130738724450846,0.0,5,1,3,1
AZE,2,0.004037140502526903,0.25,4,1,3,0
AZE,3,,,0,0,0,0
AZE,4,0.007984473886058828,,1,0,1,0
AZE,5,,,0,0,0,0
AZE,6,,,0,0,0,0
AZE,8,,,0,0,0,0
AZE,9,,,0,0,0,0
AZE,10,0.010317965887513172,,1,1,0,0
AZE,11,,,0,0,0,0
AZE,12,0.005406072178468642,0.3333333333333333,3,1,2,0
AZE,13,0.01364865374500293,,2,1,1,0
AZE,14,-0.004491132535094239,0.0,3,1,1,1
AZE,15,-0.007526834341591857,-0.6,5,0,2,3
AZE,16,0.019574695433511452,0.5,4,2,2,0
AZE,17,0.0003014797600747825,,1,0,1,0
AZE,18,-0.006116309801002989,-0.3333333333333333,3,0,2,1
AZE,19,0.001538738531983861,0.0,5,1,3,1
AZE,20,0.012250037067519225,0.2222222222222222,9,4,3,2
AZE,21,-0.022350562159445125,-0.4444444444444444,9,1,3,5
AZE,22,-0.013479572770918007,-0.625,8,0,3,5
AZE,23,-0.03196263956353387,-0.375,8,0,5,3
AZE,24,-0.013151247998522317,-0.5,6,0,3,3
AZE,25,-0.027559785093537143,,2,0,0,2
BEL,1,-0.00026255584972622166,0.0,5,0,5,0
BEL,2,0.0016105898439916471,0.0,5,0,5,0
BEL,3,,,0,0,0,0
BEL,4,-8.285927469498974e-05,,2,0,2,0
BEL,5,,,0,0,0,0
BEL,6,-0.00016571854938990382,,1,0,1,0
BEL,8,,,0,0,0,0
BEL,9,,,0,0,0,0
BEL,10,0.020539502187296263,,1,1,0,0
BEL,11,,,0,0,0,0
BEL,12,0.006009453880478276,0.2,5,1,4,0
BEL,13,-1.278452059353157e-17,,2,0,2,0
BEL,14,0.00032130302739971937,0.0,5,0,5,0
BEL,15,-0.019445874698677392,-0.42857142857142855,7,0,4,3
BEL,16,0.004367467819784873,0.2,5,1,4,0
BEL,17,-0.00838627550317149,,2,0,1,1
BEL,18,-0.0005085322516387547,0.0,4,0,4,0
BEL,19,-0.0037080577057487783,-0.2,5,0,4,1
BEL,20,-0.003372809664337181,-0.1111111111111111,9,0,8,1
BEL,21,0.0006804091379210815,-0.1111111111111111,9,2,4,3
BEL,22,-1.8227803225521255e-05,0.0,8,0,8,0
BEL,23,1.727337658334333e-05,0.0,8,0,8,0
BEL,24,-0.0016824841660499446,-0.16666666666666666,6,0,5,1
BEL,25,-0.011357247478003913,-0.3333333333333333,3,0,2,1
