iso3,category,year,category_score
BRB,Economic and fiscal governance,2005,0.3939921387
BRB,Political foundations,2005,0.5873716054
BRB,Rule of law,2005,0.5903632892
BRB,State capacity,2005,0.6001564838
BRN,Accountability,2005,0.6029047728
BRN,Economic and fiscal governance,2005,0.4647287758
BRN,Political foundations,2005,0.5811119582
BRN,Rule of law,2005,0.6541535665
BRN,State capacity,2005,0.595848393
BTN,Accountability,2005,0.410995443
BTN,Economic and fiscal governance,2005,0.3209293397
BTN,Political foundations,2005,0.506250543
BTN,Rule of law,2005,0.5675207577
BTN,State capacity,2005,0.4693645308
BWA,Accountability,2005,0.5727349949
BWA,Economic and fiscal governance,2005,0.4825485208
BWA,Political foundations,2005,0.5404071507
BWA,Rule of law,2005,0.5839376305
BWA,State capacity,2005,0.5746703768
CAF,Accountability,2005,0.3874954642
CAF,Economic and fiscal governance,2005,0.3711101679
CAF,Political foundations,2005,0.3779941967
CAF,Rule of law,2005,0.3576474843
CAF,State capacity,2005,0.203989185
CAN,Accountability,2005,0.6184955048
CAN,Economic and fiscal governance,2005,0.574848388
CAN,Political foundations,2005,0.5949227296
CAN,Rule of law,2005,0.6815296141
CAN,State capacity,2005,0.6509176003
CHE,Accountability,2005,0.6736129995
CHE,Economic and fiscal governance,2005,0.6340470011
CHE,Political foundations,2005,0.6314903943
CHE,Rule of law,2005,0.7271933174
CHE,State capacity,2005,0.6904518144
CHL,Accountability,2005,0.6399628898
CHL,Economic and fiscal governance,2005,0.5730384632
CHL,Political foundations,2005,0.5623335304
CHL,Rule of law,2005,0.6078178501
CHL,State capacity,2005,0.6056353426
CHN,Accountability,2005,0.2934934873
CHN,Economic and fiscal governance,2005,0.3413630999
CHN,Political foundations,2005,0.3860813933
CHN,Rule of law,2005,0.3807115753
CHN,State capacity,2005,0.5016348585
CIV,Accountability,2005,0.460291192
CIV,Economic and fiscal governance,2005,0.3857048089
CIV,Political foundations,2005,0.4383500333
CIV,Rule of law,2005,0.4418811525
CIV,State capacity,2005,0.2531171129
CMR,Accountability,2005,0.3773726265
CMR,Economic and fiscal governance,2005,0.3881718087
CMR,Political foundations,2005,0.4252484968
CMR,Rule of law,2005,0.3746173103
CMR,State capacity,2005,0.3695006998
COD,Accountability,2005,0.3579965625
COD,Economic and fiscal governance,2005,0.3097238524
COD,Political foundations,2005,0.2794440844
COD,Rule of law,2005,0.287688682
COD,State capacity,2005,0.1936371345
COG,Accountability,2005,0.3135129477
COG,Economic and fiscal governance,2005,0.290872789
COG,Political foundations,2005,0.3308478449
COG,Rule of law,2005,0.3328135407
COG,State capacity,2005,0.3205013048
COL,Accountability,2005,0.4796390453
COL,Economic and fiscal governance,2005,0.4944323432
COL,Political foundations,2005,0.4122917998
COL,Rule of law,2005,0.4410511846
COL,State capacity,2005,0.473570723
COM,Accountability,2005,0.4324186951
COM,Economic and fiscal governance,2005,0.2869262886
COM,Political foundations,2005,0.4631046905
COM,Rule of law,2005,0.4301831374
COM,State capacity,2005,0.2670261028
CPV,Accountability,2005,0.5740068096
CPV,Economic and fiscal governance,2005,0.3856985046
CPV,Political foundations,2005,0.6026824342
CPV,Rule of law,2005,0.5629899315
CPV,State capacity,2005,0.5063188799
CRI,Accountability,2005,0.6392710376
CRI,Economic and fiscal governance,2005,0.5268131684
CRI,Political foundations,2005,0.608045753
CRI,Rule of law,2005,0.6063125848
CRI,State capacity,2005,0.6039908826
CUB,Accountability,2005,0.2409096133
CUB,Economic and fiscal governance,2005,0.1451480991
CUB,Political foundations,2005,0.5086696217
CUB,Rule of law,2005,0.3595945932
CUB,State capacity,2005,0.5150398127
CUW,Accountability,2005,0.5037558685
CUW,Economic and fiscal governance,2005,0.2417788088
CUW,Political foundations,2005,0.5457746479
CUW,Rule of law,2005,0.1411030596
CUW,State capacity,2005,0.5826951848
CYM,Accountability,2005,0.5037558685
CYM,Economic and fiscal governance,2005,0.5496389746
CYM,Political foundations,2005,0.5840428942
CYM,Rule of law,2005,0.3121980676
CYM,State capacity,2005,0.6380431157
CYP,Accountability,2005,0.5955328145
CYP,Economic and fiscal governance,2005,0.6151955644
CYP,Political foundations,2005,0.561244444
CYP,Rule of law,2005,0.6104778183
CYP,State capacity,2005,0.4793463945
CZE,Accountability,2005,0.6258643668
CZE,Economic and fiscal governance,2005,0.5911971712
CZE,Political foundations,2005,0.6301328176
CZE,Rule of law,2005,0.6500751928
CZE,State capacity,2005,0.6410309717
DEU,Accountability,2005,0.7119428158
DEU,Economic and fiscal governance,2005,0.6939412592
DEU,Political foundations,2005,0.6381937764
DEU,Rule of law,2005,0.7172689821
DEU,State capacity,2005,0.6805949517
DJI,Accountability,2005,0.3354815027
DJI,Economic and fiscal governance,2005,0.3143478525
DJI,Political foundations,2005,0.3822390012
DJI,Rule of law,2005,0.4109489879
DJI,State capacity,2005,0.3778408728
DMA,Accountability,2005,0.5287462524
DMA,Economic and fiscal governance,2005,0.38885007
DMA,Political foundations,2005,0.5700090126
DMA,Rule of law,2005,0.5517545659
DMA,State capacity,2005,0.5410557019
DNK,Accountability,2005,0.7042622521
DNK,Economic and fiscal governance,2005,0.610898515
DNK,Political foundations,2005,0.6597245935
DNK,Rule of law,2005,0.772102746
DNK,State capacity,2005,0.6995619376
DOM,Accountability,2005,0.4839918862
DOM,Economic and fiscal governance,2005,0.4702340154
DOM,Political foundations,2005,0.4809474944
DOM,Rule of law,2005,0.4486519373
DOM,State capacity,2005,0.4937392815
DZA,Accountability,2005,0.3765779275
DZA,Economic and fiscal governance,2005,0.2524600974
DZA,Political foundations,2005,0.4103683395
DZA,Rule of law,2005,0.3999491902
DZA,State capacity,2005,0.4588730315
ECU,Accountability,2005,0.5086823101
ECU,Economic and fiscal governance,2005,0.4562155297
ECU,Political foundations,2005,0.4558976309
ECU,Rule of law,2005,0.4073810934
ECU,State capacity,2005,0.4903224354
EGY,Accountability,2005,0.321794035
EGY,Economic and fiscal governance,2005,0.3405956641
EGY,Political foundations,2005,0.3835916384
EGY,Rule of law,2005,0.4247480851
EGY,State capacity,2005,0.4320218058
ESP,Accountability,2005,0.6450268518
ESP,Economic and fiscal governance,2005,0.6373624909
ESP,Political foundations,2005,0.6182220394
ESP,Rule of law,2005,0.6830317245
ESP,State capacity,2005,0.6707834952
EST,Accountability,2005,0.6380495246
EST,Economic and fiscal governance,2005,0.6261678283
EST,Political foundations,2005,0.6012814974
EST,Rule of law,2005,0.6463400256
EST,State capacity,2005,0.6474892421
ETH,Accountability,2005,0.3415459026
ETH,Economic and fiscal governance,2005,0.2798965995
ETH,Political foundations,2005,0.3673285686
ETH,Rule of law,2005,0.3653011934
ETH,State capacity,2005,0.3218089641
FIN,Accountability,2005,0.6891741746
FIN,Economic and fiscal governance,2005,0.6209837272
FIN,Political foundations,2005,0.6480177617
FIN,Rule of law,2005,0.7145772081
FIN,State capacity,2005,0.7068285802
FJI,Accountability,2005,0.481177458
