metric,final_method,method_source,direction,direction_flipped,pre_transform,baseline_mean,baseline_sd,baseline_n_obs,baseline_year_span,winsor,harmonize_rule
v2clsocgrp,zscore,rule,+,False,identity,0.9549595342066958,1.1700559592205397,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clstown,zscore,rule,+,False,identity,0.6714241630276564,1.0370261073403708,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2cltort,zscore,rule,+,False,identity,0.8404972343522562,1.5075759306977323,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2cltrnslw,zscore,rule,+,False,identity,0.7078963609898108,1.402314900784418,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2cscnsult,zscore,rule,+,False,identity,0.8494360989810772,1.2778562364011774,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2cseeorgs,zscore,rule,+,False,identity,1.0289042212518196,1.4014749975298344,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2csprtcpt,zscore,rule,+,False,identity,0.9726943231441048,1.0846347611417142,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2csreprss,zscore,rule,+,False,identity,0.9534742358078603,1.4452513370383107,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2dlconslt,zscore,rule,+,False,identity,0.9064966521106258,1.183983207165756,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2elaccept,zscore,rule,+,False,identity,0.236895012315271,1.2948025339680937,3248,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2elembaut,zscore,rule,+,False,identity,0.7558020378457061,1.595390445827987,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2elembcap,zscore,rule,+,False,identity,0.8474436681222708,1.275740351976936,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2elfrfair,zscore,rule,+,False,identity,0.3449350369458128,1.4410488245315431,3248,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2elintim,zscore,rule,+,False,identity,0.26211206896551725,1.345880801839726,3248,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2elirreg,zscore,rule,+,False,identity,0.19107481527093595,1.4099870858092924,3248,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2elvotbuy,zscore,rule,+,False,identity,-0.049633004926108365,1.4043773549487832,3248,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2jucomp,zscore,rule,+,False,identity,0.3301097525473072,1.4249259707140978,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2jucorrdc,zscore,rule,+,False,identity,0.2046896652110626,1.4935843659724988,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2juhcind,zscore,rule,+,False,identity,0.41087248908296947,1.439050851085116,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2juncind,zscore,rule,+,False,identity,0.5582197962154295,1.3520514424652812,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2jupack,zscore,rule,+,False,identity,0.6525021834061137,1.1110659273093737,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
