family,file,metric,n,n_unique,min,max,median,skew,excess_kurt,zero_frac,boundary_pile,suggested_method,flag_reason,final_method,method_source,note
symmetric,vdem_filtered.csv,v2jucorrdc,6187,1067,-3.236,3.737,-0.089,0.37,-0.77,0.0,0.01,zscore,,,,
symmetric,wb_brss_clean.csv,supervisory_power,152,10,0.25,1.0,0.817,-0.34,-0.55,0.0,0.19,zscore,,,,
symmetric,wb_brss_clean.csv,supervisory_independence,152,7,0.0,1.0,0.5,-0.14,-0.33,0.02,0.18,zscore,,,,
symmetric,wb_brss_clean.csv,capital_stringency,155,105,0.073,1.0,0.646,-0.65,-0.81,0.0,0.01,zscore,,,,
symmetric,wb_brss_clean.csv,private_monitoring,155,18,0.364,1.0,0.727,-0.43,-0.07,0.0,0.06,zscore,,,,
symmetric,wb_brss_clean.csv,resolution_regime,152,19,0.0,1.0,0.429,0.22,-0.94,0.07,0.09,zscore,,,,
symmetric,wb_brss_clean.csv,provisioning,153,12,0.0,1.0,0.833,-0.93,0.87,0.01,0.29,REVIEW:zscore,ceiling/floor pile (29%),,,
symmetric,wb_brss_clean.csv,liquidity_concentration,154,9,0.2,1.0,0.6,0.24,-0.78,0.0,0.12,zscore,,,,
symmetric,wb_brss_clean.csv,macroprudential,152,16,0.143,1.0,0.69,-0.2,-0.97,0.0,0.12,zscore,,,,
symmetric,wb_brss_clean.csv,supervisory_capacity,142,81,0.085,1.0,0.739,-0.24,-0.77,0.0,0.17,zscore,,,,
symmetric,wb_brss_clean.csv,brss_regstringency,155,144,0.391,0.929,0.651,0.02,0.0,0.0,0.01,zscore,,,,
extreme_skew,wb_brss_clean.csv,brss_coverage,155,17,0.161,1.0,0.964,-4.46,24.51,0.0,0.32,REVIEW:percentile,possible multimodal (BC=0.76),,,
binary,wb_brss_clean.csv,brss_reliable,155,2,0.0,1.0,1.0,,,0.03,1.0,binary,,,,
binary,wb_carbon_clean.csv,wb_carbon_pricing_exists,927,2,0.0,1.0,1.0,,,0.02,1.0,binary,,,,
moderate_skew,wb_carbon_clean.csv,wb_carbon_price_usd,848,464,0.0,167.174,18.537,1.42,1.81,0.02,0.02,zscore,,,,
extreme_skew,wb_carbon_clean.csv,wb_carbon_revenue_usd_m,489,391,0.0,13933.169,156.117,3.63,15.77,0.2,0.2,REVIEW:percentile,possible multimodal (BC=0.76),,,
symmetric,wb_carbon_clean.csv,wb_carbon_coverage_pct,909,28,3.0,95.0,40.0,0.62,1.86,0.0,0.02,zscore,,,,
binary,wb_carbon_clean.csv,wb_carbon_coverage_is_snapshot,927,2,0.0,1.0,1.0,,,0.02,1.0,binary,,,,
symmetric,wdi_clean.csv,wdi_basic_sanitation_access,5102,4702,2.966,100.0,89.147,-1.0,-0.44,0.0,0.05,REVIEW:zscore,possible multimodal (BC=0.78),,,
moderate_skew,wdi_clean.csv,wdi_basic_water_access,5143,4497,18.759,100.0,95.311,-1.49,1.22,0.0,0.11,REVIEW:zscore,possible multimodal (BC=0.77),,,
moderate_skew,wdi_clean.csv,wdi_education_expenditure_gdp,4039,4026,0.0,16.391,4.165,1.31,4.18,0.0,0.0,zscore,,,,
symmetric,wdi_clean.csv,wdi_education_expenditure_govt,4012,3788,0.0,68.474,13.521,0.18,2.4,0.06,0.06,zscore,,,,
moderate_skew,wdi_clean.csv,wdi_electricity_access,6430,1366,0.534,100.0,99.4,-1.48,0.77,0.0,0.42,REVIEW:zscore,possible multimodal (BC=0.85); ceiling/floor pile (42%),,,
right_skew_pos,wdi_clean.csv,wdi_gdp_per_capita_ppp,6776,6776,254.388,180939.439,9140.918,2.33,7.27,0.0,0.0,log_zscore,,,,
right_skew_pos,wdi_clean.csv,wdi_gdp_per_capita_usd,7318,7318,22.952,288001.575,4229.86,3.63,19.91,0.0,0.0,log_zscore,,,,
right_skew_pos,wdi_clean.csv,wdi_gni_per_capita_ppp,6799,3204,280.0,169200.0,8890.0,2.22,6.01,0.0,0.0,log_zscore,,,,
moderate_skew,wdi_clean.csv,wdi_immunization_dpt,6524,88,10.0,99.0,91.0,-1.71,2.68,0.0,0.11,zscore,,,,
moderate_skew,wdi_clean.csv,wdi_immunization_measles,6516,87,8.0,99.0,90.0,-1.46,1.7,0.0,0.1,zscore,,,,
symmetric,wdi_clean.csv,wdi_life_expectancy,7455,6786,12.158,86.497,71.522,-0.92,0.91,0.0,0.0,zscore,,,,
right_skew_pos,wdi_clean.csv,wdi_maternal_mortality,6494,1045,1.0,7597.0,66.0,6.71,97.79,0.0,0.0,log_zscore,,,,
right_skew_pos,wdi_clean.csv,wdi_mortality_under5,6755,1557,1.3,489.3,22.8,2.1,5.87,0.0,0.0,log_zscore,,,,
right_skew_pos,wdi_clean.csv,wdi_population_total,7668,7654,8798.0,1463865525.0,5453856.5,8.94,86.14,0.0,0.0,REVIEW:log_zscore,possible multimodal (BC=0.91),,,
moderate_skew,wdi_clean.csv,wdi_primary_completion_rate,3895,3890,13.404,156.167,94.854,-1.26,1.34,0.0,0.0,zscore,,,,
moderate_skew,wdi_clean.csv,wdi_primary_enrollment_gross,5222,5216,20.916,183.989,101.288,-1.03,4.04,0.0,0.0,zscore,,,,
symmetric,wdi_clean.csv,wdi_secondary_enrollment_gross,4372,4371,3.348,164.08,85.966,-0.47,-0.26,0.0,0.0,zscore,,,,
symmetric,wdi_clean.csv,wdi_uhc_coverage_index,4560,80,13.0,92.0,68.0,-0.74,-0.53,0.0,0.0,zscore,,,,
symmetric,wgi_clean.csv,wgi_control_of_corruption,5123,4963,-2.065,2.484,-0.213,0.5,-0.6,0.0,0.0,zscore,,,,
symmetric,wgi_clean.csv,wgi_government_effectiveness,5090,4781,-2.348,2.345,-0.131,0.33,-0.61,0.0,0.0,zscore,,,,
symmetric,wgi_clean.csv,wgi_political_stability,5177,5039,-3.052,1.76,0.046,-0.54,-0.4,0.0,0.0,zscore,,,,
symmetric,wgi_clean.csv,wgi_regulatory_quality,5091,5011,-2.947,2.26,-0.138,0.21,-0.65,0.0,0.0,zscore,,,,
symmetric,wgi_clean.csv,wgi_rule_of_law,5218,5110,-2.508,2.109,-0.152,0.16,-0.84,0.0,0.0,zscore,,,,
symmetric,wgi_clean.csv,wgi_voice_accountability,5207,5156,-2.358,1.984,0.024,-0.05,-1.0,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f2_absence_corruption,1484,1484,0.16,0.963,0.466,0.54,-0.74,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f3_open_government,1484,1484,0.223,0.935,0.498,0.49,-0.5,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f4_fundamental_rights,1484,1483,0.178,0.929,0.567,0.09,-0.66,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f5_order_security,1484,1481,0.282,0.953,0.723,-0.54,0.38,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f6_regulatory_enforcement,1484,1484,0.187,0.899,0.501,0.68,-0.27,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f6_5_no_expropriation,1484,1429,0.136,0.946,0.563,0.12,-0.38,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f7_civil_justice,1484,1483,0.197,0.885,0.531,0.41,-0.44,0.0,0.0,zscore,,,,
symmetric,wjp_clean.csv,wjp_f8_criminal_justice,1484,1473,0.107,0.872,0.45,0.48,-0.66,0.0,0.0,zscore,,,,
