country_code,year,wb_carbon_pricing_exists,wb_carbon_price_usd,wb_carbon_revenue_usd_m,wb_carbon_coverage_pct,wb_carbon_coverage_is_snapshot
BEL,2025,1,70.370124,,40.0,1
BGR,2005,1,19.04973,,40.0,1
BGR,2006,1,32.353992,,40.0,1
BGR,2007,1,1.251892,,40.0,1
BGR,2008,1,34.48332,,40.0,1
BGR,2009,1,15.550804,,40.0,1
BGR,2010,1,17.265976,,40.0,1
BGR,2011,1,23.75688,,40.0,1
BGR,2012,1,9.322488,,40.0,1
BGR,2013,1,6.04396,,40.0,1
BGR,2014,1,6.7571,,40.0,1
BGR,2015,1,7.689825,,40.0,1
BGR,2016,1,5.921776,,40.0,1
BGR,2017,1,5.644848,,40.0,1
BGR,2018,1,16.26372,,40.0,1
BGR,2019,1,24.505716,,40.0,1
BGR,2020,1,18.53652,,40.0,1
BGR,2021,1,49.779548,,40.0,1
BGR,2022,1,86.526108,,40.0,1
BGR,2023,1,96.298125,,40.0,1
BGR,2024,1,61.301547,,40.0,1
BGR,2025,1,70.370124,,40.0,1
BHR,2025,0,,,,0
BRA,2025,0,,,,0
BRN,2025,0,,,,0
BWA,2025,0,,,,0
CAN,2008,1,,0.0,3.0,1
CAN,2009,1,,0.0,3.0,1
CAN,2010,1,,0.0,3.0,1
CAN,2011,1,,0.0,3.0,1
CAN,2012,1,,0.0,3.0,1
CAN,2013,1,,0.0,3.0,1
CAN,2014,1,,0.0,3.0,1
CAN,2015,1,,0.0,3.0,1
CAN,2016,1,,0.0,3.0,1
CAN,2017,1,,0.0,3.0,1
CAN,2018,1,,0.0,3.0,1
CAN,2019,1,14.99587613,1489.455185,3.0,1
CAN,2020,1,21.10149821,3261.3002645,3.0,1
CAN,2021,1,31.8344608,5035.2993387999995,3.0,1
CAN,2022,1,39.96163683,5953.3602364,3.0,1
CAN,2023,1,48.03073967,5845.92145,3.0,1
CAN,2024,1,58.94488653,8858.771097,3.0,1
CAN,2025,1,66.21131865,,3.0,1
CHE,2008,1,5.959475565,215.9337409,35.0,1
CHE,2009,1,10.51893408,200.1291156,35.0,1
CHE,2010,1,17.105388195,550.8276443,35.0,1
CHE,2011,1,32.234865755,588.6524823,35.0,1
CHE,2012,1,31.951747580000003,581.955202,35.0,1
CHE,2013,1,18.905577145,686.8451688,35.0,1
CHE,2014,1,61.723612685,862.811397682,35.0,1
CHE,2015,1,37.431934325,907.296131738,35.0,1
CHE,2016,1,48.935454115,1033.574135583,35.0,1
CHE,2017,1,45.432616960000004,1112.5377482719998,35.0,1
CHE,2018,1,54.7875991,1183.9312896039999,35.0,1
CHE,2019,1,52.248381255,1222.1295396350001,35.0,1
CHE,2020,1,59.64474318,1245.405289305,35.0,1
CHE,2021,1,73.78880105,1279.3385680400002,35.0,1
CHE,2022,1,97.7248481,1601.38771785,35.0,1
CHE,2023,1,112.3096634,1226.38129559,35.0,1
CHE,2024,1,95.647729,1475.8342206999998,35.0,1
CHE,2025,1,100.3942869,,35.0,1
CHL,2017,1,5.0,144.5,55.0,1
CHL,2018,1,5.0,165.5,55.0,1
CHL,2019,1,5.0,165.5,55.0,1
CHL,2020,1,5.0,165.0,55.0,1
CHL,2021,1,5.0,168.0,55.0,1
CHL,2022,1,5.0,171.0,55.0,1
CHL,2023,1,5.0,139.0,55.0,1
CHL,2024,1,5.0,140.0,55.0,1
CHL,2025,1,5.0,,55.0,1
CHN,2022,1,9.199849028,,51.0,1
CHN,2023,1,8.15316299,,51.0,1
CHN,2024,1,12.57307921,,51.0,1
CHN,2025,1,11.76462495,,51.0,1
CIV,2025,0,,,,0
COL,2017,1,5.207904198,159.0814767,20.0,1
COL,2018,1,5.67041516,100.3388153,20.0,1
COL,2019,1,5.172634562,140.7025676,20.0,1
COL,2020,1,4.244865787,29.16848584,20.0,1
COL,2021,1,4.605676883,90.79491766,20.0,1
