iso3,peers
GTM,"ECU,PRY,SLV,BOL,JAM,COL,PER,LBY,ZAF,DOM"
GUY,"URY,EST,BHR,LTU,KWT,TTO,PRT,SVN,PAN,CRI"
HND,"VEN,NIC,HTI,BOL,SLV,PNG,KGZ,GHA,UZB,ZWE"
HRV,"SVK,LVA,HUN,LTU,POL,GRC,ROU,EST,BGR,BHR"
HTI,"NIC,HND,VEN,KHM,COG,PNG,ZWE,KGZ,LAO,CIV"
HUN,"HRV,SVK,LVA,ROU,GRC,POL,BGR,LTU,CZE,PRT"
IDN,"VNM,PHL,LKA,THA,IRQ,MAR,BOL,MNG,UKR,JOR"
IND,"BGD,EGY,KHM,PNG,LAO,PAK,IRN,HTI,PHL,KEN"
IRL,"CHE,NOR,DNK,NLD,SGP,AUT,SWE,BEL,FIN,USA"
IRN,"UZB,MAR,EGY,TUN,LBN,IRQ,GHA,AGO,JOR,PHL"
IRQ,"DZA,JOR,MAR,UKR,TUN,LKA,LBY,LBN,ZAF,IRN"
ISL,"NOR,CHE,DNK,IRL,USA,NLD,SGP,AUT,SWE,BEL"
ISR,"ARE,QAT,BEL,SWE,AUT,FIN,AUS,DEU,CAN,GBR"
ITA,"ESP,FRA,GBR,CYP,DEU,CAN,PRT,FIN,BEL,CZE"
JAM,"PRY,ECU,COL,GTM,PER,SLV,DOM,BWA,GAB,MDA"
JOR,"IRQ,TUN,LBY,MAR,LBN,DZA,LKA,UKR,NAM,BOL"
JPN,"KOR,SAU,ESP,NZL,CZE,ITA,CAN,PRT,AUS,POL"
KAZ,"SRB,ALB,RUS,BGR,BLR,ROU,ARG,BIH,TUR,MKD"
KEN,"CMR,COG,SEN,CIV,AGO,GIN,ZWE,GHA,BEN,EGY"
KGZ,"EGY,UZB,NIC,PNG,ZWE,CIV,LBN,KHM,AGO,HTI"
KHM,"PNG,LAO,BGD,ZWE,HTI,CIV,PHL,KGZ,AGO,IND"
KIR,"MRT,COG,BGD,HTI,IND,LAO,KEN,KHM,KGZ,PNG"
KNA,"LVA,URY,HUN,GRC,HRV,ROU,POL,SVK,BHR,TTO"
KOR,"JPN,ESP,SAU,NZL,CZE,ITA,CAN,AUS,PRT,POL"
KWT,"BHR,LTU,SAU,SVK,EST,CZE,HRV,SVN,HUN,LVA"
LAO,"KHM,PNG,MRT,COG,BGD,KEN,HTI,MMR,SEN,IND"
LBN,"TUN,MAR,JOR,NAM,IRN,IRQ,SWZ,LKA,LBY,DJI"
LBR,"GMB,SLE,TCD,LSO,ETH,RWA,GNB,NER,BFA,COD"
LBY,"DZA,JOR,GNQ,AZE,IRQ,ZAF,TUN,UKR,LBN,BWA"
LCA,"MUS,SRB,ALB,KAZ,ARG,MEX,CHN,TTO,MYS,RUS"
LIE,"IRL,CHE,SGP,NOR,USA,DNK,NLD,QAT,AUS,SWE"
LKA,"MAR,TUN,JOR,VNM,IRQ,LBN,IDN,DZA,PHL,BOL"
LSO,"GNB,RWA,GMB,TCD,BFA,LBR,MLI,SDN,TGO,UGA"
LTU,"EST,SVN,CZE,SVK,KWT,HRV,LVA,BHR,PRT,HUN"
LUX,"IRL,CHE,NOR,DNK,NLD,SGP,USA,AUT,SWE,BEL"
LVA,"HRV,HUN,SVK,LTU,EST,GRC,BHR,POL,ROU,BGR"
MAR,"TUN,IRQ,LBN,JOR,IRN,LKA,DZA,UZB,UKR,NAM"
MCO,"IRL,CHE,SGP,NOR,USA,DNK,NLD,QAT,AUS,SWE"
MDA,"ARM,GEO,BIH,MKD,AZE,BLR,ALB,GAB,JAM,BWA"
MDG,"MOZ,MWI,CAF,YEM,NER,COD,SLE,ETH,LBR,TCD"
MDV,"CHN,MUS,MYS,ALB,SRB,OMN,KAZ,TTO,TUR,ARG"
MEX,"ARG,BRA,CHL,DOM,PER,COL,MYS,CHN,KAZ,CRI"
MHL,"MDA,COL,GAB,THA,JAM,BWA,ARM,PER,GEO,AZE"
MKD,"BIH,GEO,ARM,BLR,MDA,ALB,SRB,AZE,KAZ,DOM"
MLI,"BFA,UGA,SDN,RWA,ZMB,TCD,TZA,NGA,TGO,GNB"
MLT,"CYP,FIN,FRA,ITA,BEL,AUT,SVN,SWE,GBR,EST"
MMR,"NPL,PAK,TLS,TZA,ZMB,LAO,BEN,UGA,TGO,TJK"
MNE,"SRB,ALB,KAZ,MKD,BIH,BGR,RUS,GEO,ARM,BLR"
MNG,"THA,PRY,BWA,GNQ,AZE,ECU,JAM,LBY,GAB,VNM"
MOZ,"MDG,MWI,YEM,NER,CAF,COD,SLE,ETH,LBR,TCD"
MRT,"LAO,COG,SEN,GIN,CMR,KEN,HTI,TJK,BEN,KGZ"
MUS,"ALB,GAB,BWA,MKD,MYS,SRB,OMN,BIH,GNQ,DOM"
MWI,"MOZ,MDG,NER,YEM,CAF,SLE,COD,LBR,TCD,ETH"
MYS,"CHN,THA,ARG,KAZ,MEX,ALB,DOM,MUS,SRB,PER"
NAM,"SWZ,LBN,DJI,TUN,GNQ,JOR,MAR,IRQ,BWA,LBY"
NER,"COD,MWI,SLE,MOZ,MDG,LBR,TCD,ETH,GMB,YEM"
NGA,"UGA,TZA,SDN,MLI,BFA,ZMB,RWA,ETH,TCD,TGO"
NIC,"HND,HTI,VEN,KGZ,PNG,ZWE,BOL,AGO,GHA,CIV"
NLD,"DNK,SWE,AUT,BEL,DEU,NOR,GBR,FIN,CAN,CHE"
