country_code,supervisory_power,supervisory_independence,capital_stringency,private_monitoring,resolution_regime,provisioning,liquidity_concentration,macroprudential,supervisory_capacity,brss_regstringency,brss_coverage,brss_reliable
GTM,0.6667,0.5,0.0729,0.6364,0.1429,0.8333,0.4,0.6667,0.77,0.5215,0.982,True
GGY,0.6667,0.5,0.721,0.6364,0.0,0.25,0.4,0.5714,0.55,0.4764,0.964,True
GNB,0.5,1.0,0.1111,0.6,0.1429,0.8,1.0,0.3333,1.0,0.576,0.804,True
GUY,0.8333,1.0,0.1968,0.6364,0.0,1.0,0.4,0.3333,0.635,0.5598,0.964,True
HTI,0.8333,0.75,0.4861,0.7273,0.2857,1.0,1.0,0.25,0.665,0.6317,0.839,True
HND,0.8333,0.75,0.4944,0.8182,0.5714,1.0,0.6,0.2857,0.95,0.683,0.946,True
HKG,0.6667,1.0,0.8,0.7273,0.4286,0.6667,0.8,0.8571,0.845,0.7479,1.0,True
HUN,0.8333,0.5,0.8,0.8182,0.5714,1.0,0.4,0.8571,1.0,0.74,0.964,True
ISL,0.8333,0.25,0.675,0.8182,0.6667,0.6,0.6,0.5714,0.94,0.6496,0.964,True
IND,0.8333,1.0,0.699,0.6364,0.4286,1.0,0.8,0.8571,0.65,0.7614,0.982,True
IDN,1.0,0.5,0.7861,0.7273,0.7143,1.0,0.8,0.7143,0.578,0.7483,1.0,True
IRL,0.25,0.75,0.675,0.6364,1.0,0.6,0.8,1.0,,0.7191,0.857,True
ISR,0.5,0.5,0.5089,0.6364,0.1429,1.0,0.8,0.8571,0.75,0.5951,0.982,True
ITA,1.0,0.5,0.7861,0.8182,1.0,0.6667,0.8,0.8333,0.515,0.7908,0.982,True
JAM,0.8333,0.6667,0.3611,0.5455,0.25,1.0,0.4,0.6667,,0.5912,0.821,True
JPN,1.0,0.5,0.55,0.5455,0.5714,0.5,0.6,0.8571,,0.6614,0.964,True
JEY,0.3333,0.75,0.5035,0.7273,0.0,0.3333,0.4,0.0,0.3,0.3684,0.839,True
JOR,0.8333,0.5,0.8833,0.8182,0.5714,0.5,0.4,0.5714,0.745,0.6512,1.0,True
KEN,0.6667,0.75,0.7446,0.8182,0.2857,0.8333,0.6,0.8571,0.9,0.7024,1.0,True
KOR,1.0,0.25,0.8,0.7273,0.1429,0.8333,0.6,1.0,,0.6518,0.946,True
XKX,0.8333,0.75,0.4486,0.8182,0.2857,1.0,0.4,0.7143,0.41,0.6473,1.0,True
KWT,0.6667,0.75,0.9198,0.7273,0.0,1.0,1.0,0.8571,0.56,0.6773,1.0,True
KGZ,1.0,0.75,0.446,0.7273,0.4286,0.8333,0.8,0.8,,0.7301,0.911,True
LVA,0.5,0.75,0.8,0.8182,0.7143,0.5,0.8,1.0,,0.7435,0.964,True
LBN,1.0,0.5,0.7826,0.6364,0.3333,0.8333,0.8,0.8571,0.755,0.7018,0.982,True
LSO,0.6667,1.0,0.1111,0.7273,0.0,1.0,0.4,0.4286,0.9,0.5754,0.786,True
LBR,0.6667,1.0,0.4167,0.8889,0.1429,1.0,0.2,0.4286,0.825,0.6211,0.893,True
LIE,0.8,0.5,0.8,0.8182,0.8571,0.1667,0.6,0.8571,0.58,0.7008,0.982,True
LTU,0.6667,0.25,0.8,0.8182,0.7143,0.6,0.4,0.8571,0.975,0.6705,0.982,True
LUX,0.6667,0.5,0.8,0.9091,0.7143,0.5,0.8,0.8571,0.4962,0.7065,1.0,True
MAC,0.6667,0.5,0.2444,0.8182,0.1429,0.8333,0.4,0.4286,0.855,0.5318,0.982,True
MKD,0.8333,0.75,0.675,0.8182,0.2857,0.6667,0.6,0.7143,0.76,0.6789,1.0,True
MDG,0.5,0.75,0.3611,0.5455,0.1429,0.8333,0.4,0.2857,0.48,0.4659,0.929,True
MWI,1.0,0.3333,0.8125,0.9091,0.6,0.6667,1.0,0.7143,0.77,0.7402,0.875,True
MYS,0.3333,0.75,0.8,0.8182,0.2857,0.5,0.8,0.8571,1.0,0.6563,0.982,True
MDV,0.6667,0.5,0.4833,0.9,0.6,1.0,0.4,0.25,0.59,0.5933,0.857,True
MLI,0.5,1.0,0.1111,0.6,0.1429,0.8,1.0,0.3333,1.0,0.576,0.804,True
MLT,0.6,0.0,0.7597,0.7273,0.6667,0.25,0.6,0.4286,0.525,0.4986,0.929,True
MHL,0.8333,1.0,0.6458,0.3636,0.1667,0.8,0.4,0.2857,1.0,0.5818,0.929,True
MRT,1.0,0.3333,0.6083,0.9091,0.6667,0.6667,0.6,0.5714,0.65,0.6776,0.929,True
MUS,0.6667,0.75,0.6812,0.7273,0.1429,1.0,0.6,0.8571,0.445,0.6439,0.982,True
MEX,0.8333,0.0,0.675,0.7273,0.4286,0.8333,0.8,0.7143,0.4482,0.5831,1.0,True
MDA,0.6667,0.75,0.3333,0.8182,0.75,0.6667,0.6,0.4286,0.5078,0.6382,0.893,True
MNE,0.8333,0.75,0.5278,0.7273,0.1429,0.6667,0.4,0.5714,0.575,0.5871,0.982,True
