iso3,jurisdiction,methodology_round,report_type,report_date,assessment_body,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,IO1_num,IO2_num,IO3_num,IO4_num,IO5_num,IO6_num,IO7_num,IO8_num,IO9_num,IO10_num,IO11_num,R1_num,R2_num,R3_num,R4_num,R5_num,R6_num,R7_num,R8_num,R9_num,R10_num,R11_num,R12_num,R13_num,R14_num,R15_num,R16_num,R17_num,R18_num,R19_num,R20_num,R21_num,R22_num,R23_num,R24_num,R25_num,R26_num,R27_num,R28_num,R29_num,R30_num,R31_num,R32_num,R33_num,R34_num,R35_num,R36_num,R37_num,R38_num,R39_num,R40_num,n_upgrades,n_downgrades
MAR,Morocco,2013,MER+FUR(s),2024-05,MENAFATF,ME,ME,ME,ME,LE,ME,LE,ME,SE,ME,LE,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,C,LC,PC,LC,C,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,1,1,1,1,0,1,0,1,2,1,0,2,2,2,2,2,2,2,2,3,2,2,2,3.0,2,1,2,3.0,2,2,2,3,2,2,2,2.0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,6,1
MOZ,Mozambique,2013,MER+FUR(s),2026-04,ESAAMLG,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,C,C,C,C,C,C,PC,C,LC,LC,LC,LC,PC,PC,LC,C,LC,LC,C,C,LC,C,PC,LC,C,C,PC,LC,C,PC,LC,PC,PC,PC,PC,LC,C,LC,LC,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,1,3,2,2,2,2.0,1,1,2,3.0,2,2,3,3,2,3,1,2.0,3,3,1,2,3,1,2,1,1,1,1,2,3,2,2,4,
MMR,Myanmar,2013,MER+FUR(s),2024-10,APG,LE,LE,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,LC,C,LC,LC,LC,PC,PC,C,LC,C,LC,LC,LC,PC,LC,C,LC,C,C,LC,LC,LC,PC,PC,LC,C,PC,PC,LC,LC,PC,LC,PC,PC,PC,PC,PC,PC,LC,0,0,0,0,0,1,0,0,0,0,0,2,2,3,2,2,2,1,1,3,2,3,2,2.0,2,1,2,3.0,2,3,3,2,2,2,1,1.0,2,3,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1
NAM,Namibia,2013,MER+FUR(s),2024-04,ESAAMLG,ME,ME,LE,ME,LE,ME,ME,ME,LE,LE,LE,LC,LC,LC,LC,C,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,PC,PC,LC,LC,C,LC,C,C,PC,LC,PC,LC,LC,C,LC,LC,LC,PC,1,1,0,1,0,1,1,1,0,0,0,2,2,2,2,3,2,2,2,3,2,2,2,2.0,2,2,2,2.0,2,2,3,3,2,1,1,2.0,2,3,2,3,3,1,2,1,2,2,3,2,2,2,1,14,
NRU,Nauru,2013,MER+FUR(s),2025-02,APG,ME,ME,LE,ME,ME,ME,LE,LE,ME,ME,LE,PC,LC,LC,LC,C,LC,C,LC,C,C,C,C,C,C,LC,C,C,C,C,C,C,C,C,LC,LC,LC,C,LC,C,LC,LC,LC,LC,C,C,LC,LC,PC,LC,LC,1,1,0,1,1,1,0,0,1,1,0,1,2,2,2,3,2,3,2,3,3,3,3,3.0,3,2,3,3.0,3,3,3,3,3,3,2,2.0,2,3,2,3,2,2,2,2,3,3,2,2,1,2,2,1,
NPL,Nepal,2013,MER+FUR(s),2025-06,APG,ME,ME,LE,LE,LE,ME,ME,LE,LE,LE,LE,PC,LC,LC,LC,LC,PC,PC,NC,LC,LC,C,LC,LC,LC,PC,LC,LC,LC,LC,C,C,LC,LC,PC,PC,PC,C,PC,C,LC,LC,LC,LC,PC,LC,LC,LC,LC,PC,PC,1,1,0,0,0,1,1,0,0,0,0,1,2,2,2,2,1,1,0,2,2,3,2,2.0,2,1,2,2.0,2,2,3,3,2,2,1,1.0,1,3,1,3,2,2,2,2,1,2,2,2,2,1,1,9,
NLD,Netherlands,2013,MER+FUR(s),2025-09,FATF,SE,HE,ME,ME,ME,HE,SE,SE,SE,SE,ME,LC,C,LC,C,LC,LC,LC,LC,C,LC,C,LC,PC,C,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,C,LC,C,C,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,2,3,1,1,1,3,2,2,2,2,1,2,3,2,3,2,2,2,2,3,2,3,2,1.0,3,2,2,2.0,2,2,3,2,2,2,2,2.0,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,1,
NZL,New Zealand,2013,MER+FUR(s),2024-07,FATF/APG,SE,HE,ME,ME,ME,SE,SE,HE,SE,ME,ME,LC,C,C,C,LC,LC,PC,LC,C,LC,LC,PC,LC,LC,LC,LC,LC,PC,C,C,C,LC,LC,PC,LC,PC,LC,PC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,2,3,1,1,1,2,2,3,2,1,1,2,3,3,3,2,2,1,2,3,2,2,1,2.0,2,2,2,2.0,1,3,3,3,2,2,1,2.0,1,2,1,3,3,2,2,2,2,2,2,2,2,2,2,5,
NIC,Nicaragua,2013,MER+FUR(s),2021-01,GAFILAT,ME,ME,LE,ME,LE,ME,ME,SE,ME,ME,LE,PC,LC,LC,LC,LC,LC,LC,LC,LC,C,C,C,C,LC,NC,LC,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,1,1,0,1,0,1,1,2,1,1,0,1,2,2,2,2,2,2,2,2,3,3,3,3.0,2,0,2,2.0,2,2,2,2,2,2,1,2.0,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1
NER,Niger,2013,MER,2021-11,GIABA,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,C,C,LC,C,LC,LC,NC,C,PC,LC,PC,LC,PC,NC,PC,LC,LC,NC,PC,C,PC,PC,PC,PC,PC,C,PC,LC,C,C,LC,LC,C,LC,C,LC,LC,LC,LC,1,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,2,2,0,3,1,2,1,2.0,1,0,1,2.0,2,0,1,3,1,1,1,1.0,1,3,1,2,3,3,2,2,3,2,3,2,2,2,2,,
NGA,Nigeria,2013,MER+FUR(s),2024-11,GIABA,LE,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LC,LC,C,C,LC,LC,LC,C,C,LC,C,PC,C,C,PC,LC,LC,LC,LC,C,LC,PC,PC,LC,LC,LC,LC,LC,C,C,C,LC,C,C,LC,LC,LC,LC,LC,LC,0,0,1,0,0,1,0,0,0,0,0,2,2,3,3,2,2,2,3,3,2,3,1,3.0,3,1,2,2.0,2,2,3,2,1,1,2,2.0,2,2,2,3,3,3,2,3,3,2,2,2,2,2,2,4,
NIU,Niue,2013,MER,2025-10,APG,ME,SE,LE,ME,LE,LE,ME,LE,LE,LE,LE,PC,PC,PC,PC,PC,NC,NC,NC,C,PC,LC,PC,,PC,NC,NC,,PC,NC,PC,LC,PC,PC,PC,NC,PC,PC,NC,PC,LC,PC,PC,PC,NC,PC,PC,PC,LC,PC,PC,1,2,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,3,1,2,1,,1,0,0,,1,0,1,2,1,1,1,0.0,1,1,0,1,2,1,1,1,0,1,1,1,2,1,1,,
MKD,North Macedonia,2013,MER+FUR(s),2025-06,MONEYVAL,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,LC,LC,PC,PC,PC,PC,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,C,C,C,LC,LC,PC,LC,PC,LC,PC,LC,C,C,LC,C,LC,PC,LC,LC,LC,LC,LC,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2.0,2,1,2,2.0,2,3,3,3,2,2,1,2.0,1,2,1,2,3,3,2,3,2,1,2,2,2,2,2,3,
NOR,Norway,2013,MER+FUR(s)+FUAR,2023-02,FATF,SE,SE,ME,ME,ME,SE,ME,ME,SE,ME,SE,LC,LC,C,C,C,LC,C,LC,C,LC,C,C,PC,C,LC,C,LC,LC,LC,C,C,LC,LC,PC,C,C,C,C,LC,C,LC,C,PC,LC,C,C,LC,LC,LC,LC,2,2,1,1,1,2,1,1,2,1,2,2,2,3,3,3,2,3,2,3,2,3,3,1.0,3,2,3,2.0,2,2,3,3,2,2,1,3.0,3,3,3,2,3,2,3,1,2,3,3,2,2,2,2,2,1
OMN,Oman,2013,MER,2024-12,FATF/MENAFATF,ME,SE,ME,ME,ME,SE,ME,ME,SE,ME,SE,LC,LC,LC,C,C,LC,LC,PC,C,C,C,C,C,C,LC,C,C,LC,C,LC,C,C,C,LC,LC,LC,C,C,C,C,LC,C,C,C,C,LC,LC,C,LC,LC,1,2,1,1,1,2,1,1,2,1,2,2,2,2,3,3,2,2,1,3,3,3,3,3.0,3,2,3,3.0,2,3,2,3,3,3,2,2.0,2,3,3,3,3,2,3,3,3,3,2,2,3,2,2,,
PAK,Pakistan,2013,MER+FUR(s),2022-08,APG,LE,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,LC,LC,C,PC,LC,LC,LC,C,C,C,LC,LC,LC,LC,LC,C,LC,C,LC,LC,LC,C,LC,LC,LC,LC,PC,LC,LC,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,2,2,2.0,3,1,2,2.0,2,3,3,3,2,2,2,2.0,2,3,2,3,2,2,2,3,2,2,2,2,1,2,2,4,1
PLW,Palau,2013,MER+FUR(s),2023-06,APG,ME,SE,ME,ME,LE,ME,ME,ME,LE,ME,LE,PC,LC,LC,LC,LC,LC,NC,NC,C,PC,C,PC,PC,NC,NC,PC,PC,C,PC,LC,C,LC,LC,NC,PC,PC,C,PC,LC,LC,LC,LC,LC,PC,PC,LC,LC,LC,LC,LC,1,2,1,1,0,1,1,1,0,1,0,1,2,2,2,2,2,0,0,3,1,3,1,1.0,0,0,1,1.0,3,1,2,3,2,2,0,1.0,1,3,1,2,2,2,2,2,1,1,2,2,2,2,2,4,1
PAN,Panama,2013,MER+FUR(s),2019-08,GAFILAT,LE,ME,ME,ME,LE,LE,ME,ME,ME,SE,SE,LC,LC,LC,C,LC,LC,LC,LC,C,LC,LC,C,C,C,C,LC,LC,C,LC,C,C,LC,LC,PC,PC,LC,LC,LC,C,C,LC,C,C,C,LC,C,LC,LC,LC,LC,0,1,1,1,0,0,1,1,1,2,2,2,2,2,3,2,2,2,2,3,2,2,3,3.0,3,3,2,2.0,3,2,3,3,2,2,1,1.0,2,2,2,3,3,2,3,3,3,2,3,2,2,2,2,4,
PNG,Papua New Guinea,2013,MER,2024-09,APG,ME,ME,ME,ME,LE,ME,LE,LE,LE,ME,LE,PC,LC,PC,LC,PC,LC,PC,PC,C,LC,C,PC,LC,PC,NC,PC,LC,LC,NC,PC,C,PC,PC,PC,PC,LC,LC,PC,C,PC,PC,PC,PC,LC,LC,PC,LC,LC,PC,PC,1,1,1,1,0,1,0,0,0,1,0,1,2,1,2,1,2,1,1,3,2,3,1,2.0,1,0,1,2.0,2,0,1,3,1,1,1,1.0,2,2,1,3,1,1,1,1,2,2,1,2,2,1,1,,
PRY,Paraguay,2013,MER,2022-11,GAFILAT,ME,SE,ME,ME,ME,ME,LE,ME,ME,ME,ME,LC,C,PC,C,LC,LC,LC,LC,C,LC,C,C,C,C,LC,LC,,LC,C,LC,C,PC,LC,LC,C,LC,C,LC,C,C,LC,LC,C,C,C,LC,LC,LC,C,LC,1,2,1,1,1,1,0,1,1,1,1,2,3,1,3,2,2,2,2,3,2,3,3,3.0,3,2,2,,2,3,2,3,1,2,2,3.0,2,3,2,3,3,2,2,3,3,3,2,2,2,3,2,,
PER,Peru,2013,MER+FUR(s),2020-01,GAFILAT,ME,SE,ME,ME,LE,SE,LE,ME,ME,SE,SE,LC,C,C,C,C,LC,LC,PC,LC,LC,LC,LC,C,C,C,LC,PC,C,PC,C,C,LC,LC,LC,PC,LC,C,LC,C,LC,LC,LC,C,LC,PC,C,LC,C,C,LC,1,2,1,1,0,2,0,1,1,2,2,2,3,3,3,3,2,2,1,2,2,2,2,3.0,3,3,2,1.0,3,1,3,3,2,2,2,1.0,2,3,2,3,2,2,2,3,2,1,3,2,3,3,2,1,
PHL,Philippines,2013,MER+FUR(s),2022-08,APG,SE,ME,ME,ME,LE,ME,LE,LE,LE,LE,LE,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,C,LC,PC,LC,C,LC,LC,LC,C,LC,LC,LC,PC,LC,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,C,PC,LC,2,1,1,1,0,1,0,0,0,0,0,2,3,2,2,2,2,2,2,2,2,3,2,3.0,2,1,2,3.0,2,2,2,3,2,2,2,1.0,2,2,2,3,3,2,2,2,2,2,2,2,3,1,2,2,1
POL,Poland,2013,MER+FUR(s),2025-12,MONEYVAL,ME,SE,ME,SE,SE,ME,ME,LE,ME,ME,ME,LC,LC,LC,LC,PC,LC,PC,LC,C,LC,LC,LC,PC,LC,PC,LC,PC,PC,PC,PC,LC,PC,LC,LC,LC,PC,LC,PC,C,LC,LC,PC,C,LC,PC,LC,LC,LC,LC,LC,1,2,1,2,2,1,1,0,1,1,1,2,2,2,2,1,2,1,2,3,2,2,2,1.0,2,1,2,1.0,1,1,1,2,1,2,2,2.0,1,2,1,3,2,2,1,3,2,1,2,2,2,2,2,1,
PRT,Portugal,2013,MER,2017-12,FATF,SE,SE,ME,ME,ME,ME,SE,ME,SE,SE,SE,LC,LC,LC,C,LC,C,C,PC,LC,LC,C,LC,PC,C,LC,PC,LC,LC,LC,LC,C,PC,LC,PC,PC,LC,C,LC,LC,C,C,LC,LC,LC,LC,C,LC,C,C,LC,2,2,1,1,1,1,2,1,2,2,2,2,2,2,3,2,3,3,1,2,2,3,2,1.0,3,2,1,2.0,2,2,2,3,1,2,1,1.0,2,3,2,2,3,3,2,2,2,2,3,2,3,3,2,,
QAT,Qatar,2013,MER,2023-05,FATF/MENAFATF,SE,ME,SE,ME,ME,ME,ME,SE,LE,SE,ME,LC,C,C,C,C,LC,LC,LC,C,C,C,C,C,C,LC,LC,C,C,C,C,C,C,C,LC,LC,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,2,1,2,1,1,1,1,2,0,2,1,2,3,3,3,3,2,2,2,3,3,3,3,3.0,3,2,2,3.0,3,3,3,3,3,3,2,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
ROU,Romania,2013,MER+FUR(s),2025-06,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,PC,C,C,C,PC,PC,PC,PC,LC,LC,PC,PC,PC,PC,LC,LC,LC,LC,LC,LC,PC,LC,PC,LC,LC,LC,PC,LC,C,C,PC,PC,LC,PC,C,LC,C,LC,LC,1,2,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,1,2,2,1,1.0,1,1,2,2.0,2,2,2,2,1,2,1,2.0,2,2,1,2,3,3,1,1,2,1,3,2,3,2,2,,
RUS,Russia,2013,MER+FUR(s),2024-02,EAG,SE,SE,ME,ME,SE,HE,ME,SE,HE,ME,ME,LC,C,LC,LC,LC,LC,LC,LC,C,LC,LC,PC,LC,LC,PC,PC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,C,LC,C,LC,LC,LC,LC,LC,LC,LC,2,2,1,1,2,3,1,2,3,1,1,2,3,2,2,2,2,2,2,3,2,2,1,2.0,2,1,1,2.0,2,2,3,2,2,2,2,2.0,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,1
RWA,Rwanda,2013,MER,2024-07,ESAAMLG,LE,LE,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,PC,LC,LC,PC,PC,PC,NC,C,LC,LC,PC,LC,PC,PC,LC,LC,LC,LC,C,C,PC,LC,PC,PC,PC,LC,PC,LC,C,PC,C,PC,PC,PC,PC,PC,LC,PC,PC,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,1,1,1,0,3,2,2,1,2.0,1,1,2,2.0,2,2,3,3,1,2,1,1.0,1,2,1,2,3,1,3,1,1,1,1,1,2,1,1,,
KNA,Saint Kitts and Nevis,2013,MER+FUR(s),2025-10,CFATF,LE,ME,LE,LE,ME,LE,LE,LE,ME,LE,LE,LC,LC,LC,C,LC,LC,PC,PC,C,LC,LC,C,C,LC,PC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,LC,C,PC,LC,C,C,LC,C,C,PC,LC,LC,C,LC,LC,0,1,0,0,1,0,0,0,1,0,0,2,2,2,3,2,2,1,1,3,2,2,3,3.0,2,1,2,2.0,2,2,3,3,2,2,2,2.0,2,3,1,2,3,3,2,3,3,1,2,2,3,2,2,4,
LCA,Saint Lucia,2013,MER+FUR(s),2024-10,CFATF,LE,ME,LE,LE,LE,LE,ME,ME,LE,LE,LE,C,C,LC,LC,C,PC,PC,NC,LC,LC,LC,C,LC,LC,LC,C,C,C,C,C,C,LC,C,PC,PC,LC,C,LC,C,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,0,1,0,0,0,0,1,1,0,0,0,3,3,2,2,3,1,1,0,2,2,2,3,2.0,2,2,3,3.0,3,3,3,3,2,3,1,1.0,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,7,
VCT,Saint Vincent and the Grenadines,2013,MER+FUR(s),2026-05,CFATF,SE,SE,ME,ME,ME,SE,ME,ME,LE,LE,LE,LC,LC,C,C,C,PC,NC,LC,C,LC,C,LC,LC,LC,PC,PC,C,C,C,C,C,LC,C,PC,PC,LC,LC,LC,C,C,LC,LC,C,LC,LC,LC,PC,PC,PC,LC,2,2,1,1,1,2,1,1,0,0,0,2,2,3,3,3,1,0,2,3,2,3,2,2.0,2,1,1,3.0,3,3,3,3,2,3,1,1.0,2,2,2,3,3,2,2,3,2,2,2,1,1,1,2,1,
WSM,Samoa,2013,MER+FUR(s),2023-06,APG,ME,SE,LE,ME,ME,LE,LE,ME,ME,ME,LE,PC,LC,LC,LC,LC,PC,NC,PC,C,LC,C,PC,PC,C,PC,PC,PC,C,PC,LC,C,PC,PC,PC,PC,PC,PC,PC,LC,C,LC,LC,LC,PC,PC,LC,LC,LC,LC,LC,1,2,0,1,1,0,0,1,1,1,0,1,2,2,2,2,1,0,1,3,2,3,1,1.0,3,1,1,1.0,3,1,2,3,1,1,1,1.0,1,1,1,2,3,2,2,2,1,1,2,2,2,2,2,3,
SMR,San Marino,2013,MER+FUR(s),2024-05,MONEYVAL,SE,HE,ME,ME,ME,SE,ME,SE,SE,ME,ME,LC,C,LC,C,LC,LC,LC,LC,LC,LC,C,C,C,LC,PC,C,LC,LC,C,C,C,LC,LC,PC,LC,PC,LC,PC,C,C,C,C,C,C,LC,LC,C,C,C,LC,2,3,1,1,1,2,1,2,2,1,1,2,3,2,3,2,2,2,2,2,2,3,3,3.0,2,1,3,2.0,2,3,3,3,2,2,1,2.0,1,2,1,3,3,3,3,3,3,2,2,3,3,3,2,1,
STP,Sao Tome and Principe,2013,MER,2024-11,GIABA,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,PC,C,LC,NC,NC,NC,LC,PC,LC,PC,LC,PC,NC,PC,PC,PC,NC,C,LC,PC,PC,PC,PC,PC,C,PC,LC,C,LC,PC,PC,PC,C,LC,PC,LC,LC,LC,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0,0,0,2,1,2,1,2.0,1,0,1,1.0,1,0,3,2,1,1,1,1.0,1,3,1,2,3,2,1,1,1,3,2,1,2,2,2,,
SAU,Saudi Arabia,2013,MER+FUR(s),2020-01,FATF/MENAFATF,SE,ME,SE,ME,ME,ME,LE,LE,SE,SE,LE,LC,LC,C,LC,C,LC,LC,LC,C,C,C,C,C,C,LC,LC,C,LC,C,C,LC,LC,C,LC,LC,C,C,C,LC,LC,LC,LC,PC,C,C,PC,LC,LC,LC,LC,2,1,2,1,1,1,0,0,2,2,0,2,2,3,2,3,2,2,2,3,3,3,3,3.0,3,2,2,3.0,2,3,3,2,2,3,2,2.0,3,3,3,2,2,2,2,1,3,3,1,2,2,2,2,2,2
SEN,Senegal,2013,MER+FUR(s),2024-11,GIABA,LE,LE,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,C,LC,C,C,LC,C,PC,C,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,PC,C,PC,LC,LC,C,LC,LC,C,LC,LC,C,LC,LC,LC,0,0,0,0,0,1,0,0,0,0,0,2,3,2,3,3,2,3,1,3,2,2,2,2.0,2,1,2,2.0,2,2,3,3,2,2,2,2.0,1,3,1,2,2,3,2,2,3,2,2,3,2,2,2,11,
SRB,Serbia,2022,MER,2025-12,MONEYVAL,SE,SE,SE,ME,SE,ME,SE,SE,ME,ME,SE,LC,LC,LC,PC,LC,LC,LC,PC,C,LC,C,C,C,C,LC,LC,C,C,C,C,C,LC,LC,LC,PC,C,C,LC,C,LC,PC,LC,LC,LC,LC,LC,LC,LC,LC,LC,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,1,3,2,3,3,3.0,3,2,2,3.0,3,3,3,3,2,2,2,1.0,3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,1,1
SYC,Seychelles,2013,MER+FUR(s),2026-04,ESAAMLG,LE,LE,LE,ME,LE,LE,LE,LE,LE,LE,LE,C,LC,LC,C,LC,PC,PC,LC,C,LC,C,LC,C,C,LC,LC,LC,C,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,C,LC,LC,C,LC,LC,LC,LC,0,0,0,1,0,0,0,0,0,0,0,3,2,2,3,2,1,1,2,3,2,3,2,3.0,3,2,2,2.0,3,3,3,3,2,2,2,2.0,2,2,2,2,3,3,2,3,2,2,3,2,2,2,2,1,
SLE,Sierra Leone,2013,MER+FUR(s),2024-11,GIABA,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,LC,LC,LC,PC,NC,NC,C,LC,C,LC,LC,LC,LC,PC,LC,LC,PC,C,C,LC,PC,PC,PC,LC,LC,PC,LC,LC,LC,LC,PC,PC,LC,LC,PC,LC,PC,LC,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,3,2,3,2,2.0,2,2,1,2.0,2,1,3,3,2,1,1,1.0,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,8,
SGP,Singapore,2022,MER,2026-05,FATF,SE,SE,SE,SE,ME,SE,ME,SE,SE,ME,ME,LC,C,C,LC,LC,LC,LC,C,C,C,C,C,C,C,LC,LC,C,C,LC,C,C,C,LC,PC,PC,C,C,LC,LC,C,C,LC,C,C,LC,C,C,C,C,LC,2,2,2,2,1,2,1,2,2,1,1,2,3,3,2,2,2,2,3,3,3,3,3,3.0,3,2,2,3.0,3,2,3,3,3,2,1,1.0,3,3,2,2,3,3,2,3,3,2,3,3,3,3,2,4,
SXM,Sint Maarten,2013,MER,2025-07,CFATF,LE,LE,LE,ME,LE,LE,ME,LE,LE,LE,LE,PC,PC,C,C,C,PC,PC,PC,LC,PC,C,LC,C,PC,NC,PC,LC,PC,PC,C,C,LC,PC,PC,LC,LC,LC,PC,LC,C,C,LC,PC,PC,LC,PC,LC,PC,LC,LC,0,0,0,1,0,0,1,0,0,0,0,1,1,3,3,3,1,1,1,2,1,3,2,3.0,1,0,1,2.0,1,1,3,3,2,1,1,2.0,2,2,1,2,3,3,2,1,1,2,1,2,1,2,2,,
SVK,Slovak Republic,2013,MER+FUR(s),2025-12,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,LE,ME,ME,ME,LC,C,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,C,LC,LC,LC,LC,PC,C,C,LC,LC,LC,LC,LC,LC,LC,PC,LC,C,LC,LC,C,LC,PC,LC,C,LC,LC,LC,1,2,1,1,1,1,1,0,1,1,1,2,3,2,2,2,2,2,1,2,2,2,2,3.0,2,2,2,2.0,1,3,3,2,2,2,2,2.0,2,2,1,2,3,2,2,3,2,1,2,3,2,2,2,8,1
SVN,Slovenia,2013,MER+FUR(s),2023-12,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,C,LC,C,LC,LC,LC,C,C,LC,LC,LC,LC,LC,C,LC,C,C,LC,LC,LC,C,C,LC,LC,LC,LC,LC,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2.0,3,2,3,2.0,2,2,3,3,2,2,2,2.0,2,3,2,3,3,2,2,2,3,3,2,2,2,2,2,1,1
SLB,Solomon Islands,2013,MER,2019-10,APG,ME,ME,LE,LE,LE,ME,LE,LE,LE,LE,LE,PC,PC,LC,LC,LC,NC,NC,NC,C,NC,PC,PC,NC,PC,NC,NC,PC,NC,NC,C,C,NC,PC,PC,NC,PC,LC,PC,LC,C,LC,LC,PC,PC,PC,PC,PC,PC,LC,PC,1,1,0,0,0,1,0,0,0,0,0,1,1,2,2,2,0,0,0,3,0,1,1,0.0,1,0,0,1.0,0,0,3,3,0,1,1,0.0,1,2,1,2,3,2,2,1,1,1,1,1,1,2,1,,
ZAF,South Africa,2013,MER+FUR(s),2024-11,FATF,ME,ME,ME,ME,LE,ME,ME,ME,LE,LE,ME,LC,LC,LC,LC,C,LC,LC,PC,LC,LC,LC,LC,LC,LC,LC,LC,NC,LC,LC,LC,C,LC,C,LC,LC,LC,LC,LC,LC,C,C,PC,LC,LC,LC,LC,LC,LC,LC,LC,1,1,1,1,0,1,1,1,0,0,1,2,2,2,2,3,2,2,1,2,2,2,2,2.0,2,2,2,0.0,2,2,2,3,2,3,2,2.0,2,2,2,2,3,3,1,2,2,2,2,2,2,2,2,3,1
ESP,Spain,2013,MER+FUR(s)+FUAR,2019-12,FATF,SE,SE,SE,SE,SE,HE,SE,SE,SE,ME,SE,C,LC,LC,C,C,PC,PC,LC,C,LC,C,C,C,C,C,C,LC,C,C,C,C,LC,C,LC,LC,LC,C,LC,C,C,C,C,C,C,C,C,C,C,C,C,2,2,2,2,2,3,2,2,2,1,2,3,2,2,3,3,1,1,2,3,2,3,3,3.0,3,3,3,2.0,3,3,3,3,2,3,2,2.0,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,
LKA,Sri Lanka,2013,MER+FUR(s),2021-11,APG,ME,LE,LE,LE,LE,LE,LE,LE,SE,LE,LE,LC,LC,LC,PC,C,LC,LC,PC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,C,C,LC,C,NC,LC,PC,C,PC,LC,C,LC,LC,LC,LC,PC,LC,C,LC,LC,PC,1,0,0,0,0,0,0,0,2,0,0,2,2,2,1,3,2,2,1,2,2,2,2,2.0,2,1,2,2.0,2,2,3,3,2,3,0,2.0,1,3,1,2,3,2,2,2,2,1,2,3,2,2,1,1,1
