country_code,rti_total,Right of Access,Scope,Requesting Procedure,Exceptions & Refusals,Appeals,Sanctions & Protections,Promotional Measures,rti_law_year,has_rti_law
LVA,69.0,2,30,17,14,4,2,0,1998,1
MAR,71.0,4,20,11,14,12,3,7,2018,1
MCO,45.0,1,13,7,15,9,0,0,2011,1
MDA,93.0,4,24,18,23,14,3,7,2000,1
MDG,9.317544354015276,,,,,,,,,0
MDV,114.0,4,26,21,15,29,7,12,2014,1
MEX,136.0,6,30,28,28,26,4,14,2002,1
MHL,9.317544354015276,,,,,,,,,0
MKD,110.0,2,29,21,22,18,4,14,2006,1
MLI,9.317544354015276,,,,,,,,,0
MLT,78.0,0,19,21,12,10,2,14,2008,1
MMR,9.317544354015276,,,,,,,,,0
MNE,89.0,5,30,22,21,4,2,5,2005,1
MNG,87.0,5,25,18,7,25,3,4,2011,1
MOZ,60.0,6,17,16,9,5,3,4,2014,1
MRT,9.317544354015276,,,,,,,,,0
MUS,9.317544354015276,,,,,,,,,0
MWI,104.0,3,27,15,18,21,6,14,2017,1
MYS,9.317544354015276,,,,,,,,,0
NAM,116.0,3,23,21,21,29,5,14,2022,1
NER,77.0,2,19,14,13,17,6,6,2011,1
NGA,88.0,3,29,12,22,4,7,11,2011,1
NIC,111.0,4,30,18,27,14,3,15,2007,1
NLD,82.0,4,21,22,15,14,4,2,1978,1
NOR,77.0,5,16,14,16,22,2,2,1970,1
NPL,112.0,4,27,19,18,26,6,12,2007,1
NRU,9.317544354015276,,,,,,,,,0
NZL,94.0,4,16,22,18,23,6,5,1982,1
OMN,9.317544354015276,,,,,,,,,0
PAK,108.0,6,25,21,17,22,4,13,2002,1
PAN,93.0,5,29,15,16,16,2,10,2002,1
PER,93.0,4,29,17,17,14,4,8,2003,1
PHL,47.0,5,13,18,4,4,1,2,2016,1
PLW,33.0,4,16,2,5,5,1,0,2014,1
PNG,9.317544354015276,,,,,,,,,0
POL,79.0,4,29,18,14,12,1,1,2001,1
PRK,9.317544354015276,,,,,,,,,0
PRT,73.0,4,22,19,10,14,0,4,1993,1
PRY,60.0,0,25,18,2,7,2,6,2014,1
QAT,43.0,0,19,7,10,1,2,4,2022,1
ROU,85.0,5,29,17,13,6,6,9,2001,1
RUS,98.0,1,30,20,12,26,1,8,2009,1
RWA,86.0,2,30,19,21,10,1,3,2013,1
SAU,53.0,3,17,8,9,4,2,10,2020,1
SDN,65.0,0,18,15,8,12,2,10,2015,1
SEN,71.0,0,25,13,8,11,4,10,2025,1
SGP,9.317544354015276,,,,,,,,,0
SLB,9.317544354015276,,,,,,,,,0
SLE,126.0,2,30,23,20,29,7,15,2013,1
SLV,120.0,4,30,24,22,23,1,16,2011,1
SMR,59.0,3,21,12,12,8,2,1,2011,1
SOM,9.317544354015276,,,,,,,,,0
SRB,135.0,5,30,22,26,29,7,16,2003,1
SSD,121.0,6,27,17,26,22,8,15,2013,1
STP,9.317544354015276,,,,,,,,,0
SUR,9.317544354015276,,,,,,,,,0
SVK,66.0,1,20,25,14,4,2,0,2000,1
SVN,128.0,2,30,26,25,28,4,13,2003,1
SWE,101.0,5,25,18,19,22,4,8,1766,1
SWZ,9.317544354015276,,,,,,,,,0
SYC,108.0,5,25,17,21,24,5,11,2018,1
SYR,9.317544354015276,,,,,,,,,0
TCD,9.317544354015276,,,,,,,,,0
TGO,72.0,2,23,16,8,20,1,2,2016,1
THA,75.0,4,24,13,13,14,2,5,1997,1
TJK,50.0,5,8,17,16,2,0,2,2002,1
TKM,9.317544354015276,,,,,,,,,0
TLS,50.0,2,17,10,15,4,0,2,2016,1
TON,9.317544354015276,,,,,,,,,0
TTO,89.0,3,24,15,20,15,3,9,1999,1
TUN,119.0,4,28,22,25,23,2,15,2011,1
TUR,74.0,5,24,13,21,5,2,4,2003,1
TUV,9.317544354015276,,,,,,,,,0
TWN,56.0,2,18,10,17,6,1,2,2005,1
TZA,73.0,3,19,15,21,7,5,3,2016,1
UGA,97.0,6,26,19,22,13,6,5,2005,1
UKR,115.0,5,26,22,24,25,3,10,1992,1
URY,92.0,4,28,15,20,11,2,12,2008,1
USA,82.0,2,18,15,17,14,4,12,1966,1
UZB,54.0,2,18,12,10,9,2,1,1997,1
VCT,9.317544354015276,,,,,,,,,0
VEN,62.0,4,21,7,9,16,2,3,2021,1
VNM,76.0,3,17,16,14,9,6,11,2016,1
VUT,121.0,3,26,23,23,26,6,14,2017,1
WSM,9.317544354015276,,,,,,,,,0
XKX,105.0,4,24,22,17,20,6,12,2003,1
YEM,105.0,2,29,18,19,19,3,15,2012,1
ZAF,118.0,6,22,19,23,28,6,14,2000,1
ZMB,85.0,3,21,13,15,17,5,11,2023,1
ZWE,73.0,4,15,13,18,17,2,4,2002,1
