iso3,concept_id,metric,tier,tier_weight,harmonized,latest_year,stale,present,bucket,renormalized_weight,metric_contribution,missingness_tag
AFG,4,wgi_government_effectiveness,P1,1.0,0.1608974559432244,2024,False,True,,0.4,0.0643589823772897,exogenous
AFG,4,wjp_f6_regulatory_enforcement,P2,0.5,0.2835103329470925,2025,False,True,,0.2,0.0567020665894185,exogenous
AFG,5,fsi_p2_public_services,P1,1.0,0.2034318052471185,2023,False,True,,0.1818181818181818,0.0369876009540215,exogenous
AFG,5,wdi_education_index,P1,1.0,0.4889586850591162,2023,False,True,,0.1818181818181818,0.0889015791016575,exogenous
AFG,5,wdi_hci_plus_overall,P2,0.5,0.1735976929703908,2025,False,True,,0.0909090909090909,0.0157816084518537,exogenous
AFG,5,wdi_health_index,P1,1.0,0.2085514109832584,2024,False,True,,0.1818181818181818,0.0379184383605924,exogenous
AFG,5,wdi_infrastructure_index,P1,1.0,0.3958294360528084,2024,False,True,,0.1818181818181818,0.0719689883732379,exogenous
AFG,5,wdi_social_protection_index,P1,1.0,0.2138548382327225,2011,True,True,,0.1818181818181818,0.038882697860495,ambiguous
AFG,6,wgi_regulatory_quality,P1,1.0,0.2268694404998436,2024,False,True,,0.5,0.1134347202499218,exogenous
AFG,6,wjp_f6_regulatory_enforcement,P1,1.0,0.2835103329470925,2025,False,True,,0.5,0.1417551664735462,exogenous
AFG,8,fari_aggregate,P1,1.0,0.6748302855950551,2020,True,True,external,0.3333333333333333,0.224943428531685,exogenous
AFG,8,fari_fdi_aggregate,P1,1.0,0.5819520767902946,2020,True,True,external,0.3333333333333333,0.1939840255967648,exogenous
AFG,8,fari_fdi_inflow,P1,1.0,0.4968249039122371,2020,True,True,external,0.3333333333333333,0.165608301304079,exogenous
AFG,8,kaopen_norm,Sp,0.0,0.2594316590361451,2000,True,True,external,0.0,0.0,exogenous
AFG,8,obs_open_budget_index,P1,1.0,0.1864791771459252,2023,False,True,fiscal,0.4,0.07459167085837,endogenous
AFG,8,pefa_accountability,P2,0.5,0.4558965908239554,2018,True,True,fiscal,0.2,0.091179318164791,endogenous
AFG,8,pefa_core_management,P1,1.0,0.2990031414003058,2018,True,True,fiscal,0.4,0.1196012565601223,endogenous
AFG,8,romelli_cbi_index,P1,1.0,0.7025891714749375,2023,False,True,monetary,1.0,0.7025891714749375,exogenous
AFG,10,v2clstown,P1,1.0,0.0192303353706188,2025,False,True,,1.0,0.0192303353706188,exogenous
AFG,11,wdi_lpi_overall,P1,1.0,0.2226958141907604,2022,True,True,,0.5,0.1113479070953802,exogenous
AFG,11,wdi_tariff_rate_simple_mean,P1,1.0,0.4784727246283985,2018,True,True,,0.5,0.2392363623141992,exogenous
AFG,12,climate_laws_cumulative,P2,0.5,0.6639671361502347,2026,False,True,,0.0909090909090909,0.0603606487409304,census
AFG,12,epi_agr,P1,1.0,0.4582739385933943,2024,False,True,,0.1818181818181818,0.083322534289708,exogenous
AFG,12,epi_bdh,P2,0.5,0.3463239048210019,2024,False,True,,0.0909090909090909,0.0314839913473638,exogenous
AFG,12,epi_cch,P2,0.5,0.4827795955598966,2024,False,True,,0.0909090909090909,0.0438890541418087,exogenous
AFG,12,epi_wrs,P1,1.0,0.3782671208643983,2024,False,True,,0.1818181818181818,0.0687758401571633,exogenous
AFG,12,irena_renewables_share_pct,P1,1.0,0.774835919163869,2024,False,True,,0.1818181818181818,0.1408792580297943,exogenous
AFG,12,wb_carbon_pricing_exists,P1,1.0,0.0,2025,False,True,,0.1818181818181818,0.0,census
AFG,13,fsi_c1_security_apparatus,P1,1.0,0.2079902590931164,2023,False,True,,0.3333333333333333,0.0693300863643721,exogenous
AFG,13,v2svdomaut,P1,1.0,0.0716488866673836,2025,False,True,,0.3333333333333333,0.0238829622224612,exogenous
AFG,13,v2svstterr,P1,1.0,0.3011541557230076,2025,False,True,,0.3333333333333333,0.1003847185743358,exogenous
AFG,14,ccp_civil_rights_provisions,P1,1.0,0.1456509846827133,2023,False,True,,0.1428571428571428,0.0208072835261019,exogenous
AFG,14,ccp_information_access,P1,1.0,0.1948851203501094,2023,False,True,,0.1428571428571428,0.027840731478587,exogenous
AFG,14,v2clacjstw,P1,1.0,0.0,2025,False,True,,0.1428571428571428,0.0,exogenous
AFG,14,v2cltrnslw,P1,1.0,0.1250371012453473,2025,False,True,,0.1428571428571428,0.0178624430350496,exogenous
AFG,14,v2xeg_eqaccess,P1,1.0,0.064480986028025,2025,False,True,,0.1428571428571428,0.009211569432575,exogenous
