iso3,C1_score,C2_score,C3_score,C4_score,C5_score,C6_score,C8_score,C9_score,C10_score,C11_score,C12_score,C13_score,C14_score,C15_score,C16_score,C17_score,C18_score,C19_score,C20_score,C21_score,C22_score,C23_score,C24_score,C25_score,C1_lowconf,C2_lowconf,C3_lowconf,C4_lowconf,C5_lowconf,C6_lowconf,C8_lowconf,C9_lowconf,C10_lowconf,C11_lowconf,C12_lowconf,C13_lowconf,C14_lowconf,C15_lowconf,C16_lowconf,C17_lowconf,C18_lowconf,C19_lowconf,C20_lowconf,C21_lowconf,C22_lowconf,C23_lowconf,C24_lowconf,C25_lowconf
AUS,0.6872031221867472,0.6153597904495086,0.613128114993685,0.8134595465217105,0.677254754100672,0.7964713844736144,0.47309231098756066,0.6481088460635589,0.6228795545840898,0.6980220348397336,0.6635970445312154,0.6372755850458497,0.6926276219840878,0.7395383327550321,0.682758107957429,0.7252151579151006,0.7609015875028882,0.680242797041027,0.708885369242811,0.6760801618828008,0.6336694118444883,0.6169116676113807,0.6511788094681662,0.6703584116489087,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AUT,0.6670443572947696,0.617644030686043,0.5962695879457799,0.7379617441748243,0.6478720000117957,0.7284164977265111,0.6800597719276988,0.648629843161772,0.4690743621487086,0.7316108568034937,0.7470268935859611,0.6909426749003051,0.6889349867078252,0.6988109248054863,0.7022749537794598,0.7012586438679757,0.7225163520737543,0.6645024992379053,0.6929913941139167,0.6564891626936629,0.6466550421490308,0.5852008170031997,0.6463755502537678,0.5805169900189546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AZE,0.28443968058258806,0.5603886070353481,0.4626503760437767,0.4330076315390091,0.5393670234990885,0.5006450018318933,0.5606585304256663,0.5564982716576657,0.1931250252505378,0.47557081454322325,0.4167503231051062,0.5106855735553285,0.2941507319073506,0.16741138243654646,0.4533812975331552,0.4298868060393925,0.27205858231081764,0.1968780420719409,0.2972764902845998,0.19597050211892905,0.36978377216980124,0.19747761605111344,0.13052570211740874,0.40619634051904396,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BDI,0.3615680645298909,0.390652899316583,0.3785815741350609,0.31398334078505763,0.30523723961051535,0.38075564853758936,0.494290117346751,,0.3308586197302887,0.23506583460429464,0.4206677192932408,0.47940814883036637,0.5093004904062357,0.19023097312652276,0.30615557519998093,0.380648630677577,0.29886726907636196,0.28043267708781155,0.28600863183425107,0.29219608825965565,0.3594489605638351,0.2926872339195261,0.2219702846233811,0.2598498177068927,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BEL,0.6955891843777714,0.5916055724403683,0.5350036968539009,0.7462446651989395,0.6847289001357547,0.7280027504198265,0.651193199522137,0.5819371321078898,0.7258984974796795,0.738135838185905,0.7079002288719131,0.6617935917759225,0.7048089999419146,0.6414157722824548,0.715537952046875,0.7459710439975673,0.7361065419295514,0.648122719256007,0.7228032126916808,0.6799983061757883,0.6861110868802478,0.6641913513687918,0.6893091318061907,0.6526098447197829,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BEN,0.5781633082157918,0.3085333897395323,0.47797571342783207,0.5252544798279247,0.24964239820296907,0.45324092315470266,0.6052143943553728,0.3065844117919974,0.6829873309381469,0.42454117029638294,0.36953108968785936,0.5231402824622243,0.5658791440861726,0.47392903132762765,0.5351922754443073,0.4875863039000983,0.5378712822595415,0.3399021398277729,0.4971508898976321,0.47948184212444206,0.6111691498666335,0.43147490504451463,0.5108414682406482,0.4191442730274737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BFA,0.5086368575830996,0.1018899501511684,0.5461474414030043,0.4138311027100704,0.2630907156027269,0.4358416016077644,0.5250341124166631,0.377230870384238,0.4414312136650246,0.36577718981132595,0.44046901527628873,0.3517275585703761,0.4857210052813613,0.41304788930321734,0.2693968239216696,0.45384895670348324,0.5205393783687048,0.3187777874250436,0.3798855223355668,0.32076156912308545,0.41196094170588793,0.3177029871108488,0.35589232179374514,0.41110485832717886,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BGD,0.3423953365818558,0.2652315715865822,0.4307788014629307,0.3667398629178981,0.47706091814676976,0.34216312004919824,0.4371954632046792,0.521435540910652,0.5111819487924598,0.383751991027079,0.41938314861092346,0.5392951291902601,0.43234352254891206,0.3067179503628302,0.41773691455106715,0.529974663950454,0.32077357291817227,0.27798066513004577,0.3028496755361011,0.42851384523407166,0.401516517064626,0.3552733400824799,0.487163163560552,0.4758424267973984,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BGR,0.5798649498287493,0.5813762129537723,0.5711407100767236,0.4792139349978585,0.5981084288494255,0.524222826532971,0.6765041344484457,0.4394488368015487,0.5061997534262145,0.6573041897841778,0.7048668948463636,0.6276110231533516,0.4851005644569195,0.5202713251486869,0.5980052958631501,0.5272439525346391,0.4416140115107601,0.6483611319583036,0.5223253561776808,0.5629322205137428,0.5734867400351588,0.5133324949989803,0.6033617762587412,0.5751225430432665,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BHR,0.25842154808819034,0.5551431582930694,0.3924558037909964,0.47499270370410107,0.6285304675155841,0.6754487665380958,0.4835006453619014,0.6113297400964722,0.2625543284188603,0.6251345775263087,0.36081786473766125,0.39739954667792227,0.48784434012779243,0.3906834576580299,0.4947778649518335,0.5195739509994164,0.5441369342124851,0.24975433289822474,0.36866772890218985,0.2689279571306307,0.31588884811034895,0.22772222107627058,0.23617397283933117,0.33670447134520654,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BHS,0.7043081345170108,0.5701489534657905,0.3162658063614324,0.566862741749585,0.5161882160510118,0.5130345768495774,0.5109476167514183,0.497038674656854,,0.275172161878178,0.42783935931131706,0.5887652840187447,0.3350824340559315,0.5539584139173446,0.3728493011490242,0.5024064498669818,0.6477734436882017,,0.5470660512039199,0.7376482093397138,0.5342798845756549,0.5628456843607305,0.7147622164924818,0.4685556155543953,True,False,False,False,False,False,False,False,,False,False,True,False,True,True,False,False,,True,True,False,True,True,False
BIH,0.4727043152726731,0.4729805569492343,0.4276553737681341,0.415403070441703,0.5394037728228787,0.4671390206581435,0.5417540725130596,0.43669046738504996,0.5082890611604464,0.5684251944403566,0.4032428207721038,0.38201239532192605,0.5376241588683965,0.5278408093079269,0.5680923400562377,0.5304920490127938,0.40674971764217555,0.41683179065105785,0.45564819302779613,0.49139117782148,0.5100716707475574,0.5023496956411772,0.5126191117852784,0.5234320607145089,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BLR,0.4594075860347113,0.4715639831194227,0.6223038707419717,0.38261634210379497,0.6382721905713623,0.3167818170194636,0.5408760131821544,0.6328148530083377,0.1635532850121781,0.4390589388136296,0.46649033686757413,0.42344733300753307,0.32571784095127876,0.3202500211334173,0.4185699264023764,0.3331867454246072,0.5112122105773484,0.16259186080629268,0.33436497421657296,0.25465946412598095,0.42091713178096574,0.13975561996072347,0.102389902109266,0.24575958026572076,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BLZ,0.616881611231822,0.5587662677492812,0.4381688695344371,0.4360302616726264,0.4966665411724103,0.4312240136320812,0.21140024141541527,0.7474735316207353,,0.35399474938979153,0.5133230029933825,0.4124805502568798,0.6174071127716697,0.44367050282916076,0.37444086071852706,0.42349552187115475,0.4570468958341743,,0.5789291797487196,0.6765643892983912,0.5929979350074023,0.5567919736586457,0.6625467252093715,0.4318618974907381,True,False,False,False,False,False,True,False,,False,False,True,False,True,True,False,True,,True,True,False,True,True,False
BMU,,0.5752009693809541,,0.75061084955222,0.5880971590459257,0.6053550658531458,,0.7565764048193122,,0.0440063586050968,0.14837321285676366,,,,0.3230676328502415,,,,,,,0.503755868544601,,,,False,,True,False,True,,False,,True,True,,,,True,,,,,,,True,,
BOL,0.5102806379189596,0.3825581626698454,0.45051730289037273,0.41094651192303766,0.49500816475424464,0.27965882301706824,0.5534305313384892,0.5530655212175203,0.39643073938926,0.4058050130044982,0.4771891052092517,0.496226936803037,0.377696950814643,0.3253374314438526,0.46655122075726596,0.3860986799859477,0.3422771918225496,0.4786745687385004,0.5831152584990447,0.5130886184884719,0.5729357761059723,0.5105742591036313,0.525045673301476,0.4453676494663468,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BRA,0.5333144415582135,0.5213519681507006,0.5375654568053674,0.518300211347833,0.5385907047312694,0.42737787956266643,0.6589799967945772,0.5582146468777386,0.582057695776789,0.5290993746618634,0.5935218944937565,0.4647728199719637,0.44586366226825547,0.5874907092331277,0.3614092644082639,0.5519108527271385,0.4680410372598415,0.6912681617132825,0.5948640203577134,0.6027653588931213,0.5678980794370247,0.6132865725749034,0.6038141600427911,0.668846889658757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BRB,0.6561537458218211,0.5554178210705691,0.38083571101316266,0.5968456621313264,0.5670509928922303,0.5713382432998317,0.1771704114160665,0.40043235851617637,0.4933424750617102,0.3871686311625702,0.4000328135746016,0.5681563517500919,0.48670053054381807,0.6620081851496459,0.5610570096864186,0.5863287512794839,0.6944810067528897,0.5414866295634111,0.6203555945983829,0.6006736214882406,0.6026569915549642,0.5914653859235873,0.656716281097718,0.5026780471195154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BRN,0.41721286540445884,0.5849483111266662,0.43641532977366937,0.6398447334623466,0.6205906777140353,0.6487776495559694,0.5759562519307245,0.6011848727014694,,0.5801275192467351,0.3623227220545704,0.6169708414206432,0.625136761487965,,0.8175123458177067,0.5504939630184413,0.668721008163077,,0.2088657481916571,0.3620148654645492,0.37659432529757875,0.41858189998201933,0.3318833131928579,0.2626543987088006,True,False,False,True,False,False,True,False,,False,False,True,True,,True,True,True,,True,True,False,True,True,True
BTN,0.5080101617942206,0.5365811922388013,0.3812626432585743,0.6050403175113497,0.489036754526906,0.5284498800958285,0.5306417639949872,0.3574621326924454,0.3167156135293341,0.4263830746546907,0.49910749196637777,0.5433710691144839,0.4129740701822685,0.5668950333595958,0.5737021278355121,0.5226167336020245,0.6898426466006474,0.6211829802690202,0.6058057149494336,0.5350224506373851,0.47100836805894974,0.5204537456451773,0.4811501260798814,0.5432909229827724,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BWA,0.6052182567314098,0.5261754343123629,0.43510409251971316,0.6084202653252863,0.5143162290499024,0.5430930542494476,0.5675314103487797,0.36526824962715326,0.5603610385366883,0.5201667946946529,0.3970273865321905,0.6170268299640601,0.5559807320112488,0.5333912843931471,0.511720941402152,0.598392341053035,0.6121921350511813,0.5359338475710077,0.577125764050123,0.5356313814221646,0.5185763497436172,0.5343019440988735,0.5983961795173102,0.4187633749388808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAF,0.3324933365960639,0.34945230316700504,0.3853464113503876,0.2107757400590266,0.09841191925946834,0.25941011078659226,0.4439067122787009,0.20774072333303403,0.6503619870882175,0.27010187162565824,0.44290442983965134,0.26959513006798735,0.25678003677133987,0.42177888673613523,0.2771054400861691,0.17118353144077555,0.3027283734670508,0.2847777233356193,0.24746207443711463,0.3525193587702376,0.2976333592233196,0.41229837041170164,0.3049240546888259,0.2810278913463431,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAN,0.661795471029198,0.5388401584805712,0.6177458747708029,0.743628827328261,0.6426987022837807,0.7616778640179641,0.4385358505343015,0.6130461153165451,0.5314321622165539,0.7283195305516856,0.707555410001844,0.6400862110322704,0.6610874375510936,0.652192020675635,0.6299468309472118,0.6515423568770394,0.7698739758669766,0.6232253502807727,0.7126804940553179,0.6508533992837655,0.5900101244096146,0.6492723310836365,0.6566225126911341,0.6491149799563671,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHE,0.7427551006745389,0.621241726971241,0.561718802050782,0.8350322986781265,0.6688905680609258,0.7758467123227457,0.6350412289912745,0.6695939589754244,0.7487201665766744,0.71352708373275,0.7289894784663576,0.6137209304047258,0.7188728293259665,0.7293082058814524,0.7580776833204639,0.7126056689949962,0.7807976872407218,0.7010330617322519,0.7096430830759333,0.7269094597533925,0.6384912693195204,0.6484338976409858,0.7207860801916772,0.7014549670432446,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHL,0.6579133861237797,0.49041311784962865,0.5659332669051563,0.6264606195608232,0.6477323611989999,0.6090901052269295,0.5946258271803064,0.5743337714572003,0.6755943958785569,0.6477427380407531,0.6716484015520767,0.515781031072812,0.526878032285046,0.619255872466802,0.5251059052236623,0.6770679484680443,0.6654473521535427,0.730269993922223,0.7122325696246234,0.6405542687351008,0.6363297387486399,0.6137933019218753,0.5938032487615802,0.6852715601462948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHN,0.27746357562525464,0.5638656682850315,0.34268896538652627,0.5017340101772663,0.5745148999859672,0.4605876286496332,0.41413797828573395,0.49375930814214214,0.2100002031039495,0.6167800186615131,0.6099232060068774,0.5996396446242355,0.37646653701052096,0.27404637238487284,0.4358989113418282,0.32354212550095374,0.4849706181236258,0.25169147824695576,0.2888789836014676,0.30807815476316047,0.25603036057717954,0.15128222272498343,0.17553803582290683,0.3849273644135722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CIV,0.40602511550022097,0.46158810488847585,0.5074095106421075,0.43943570655792846,0.30840838486559935,0.4644290500682445,0.5785340459529695,0.3591785079125182,0.519217747770275,0.4035374669001878,0.4211673934000917,0.40622237135299605,0.33196769240273405,0.47549596980876263,0.46333184959786,0.4783139374690773,0.4381727309426449,0.3676785945943561,0.4043473010858073,0.4695242960488845,0.5021243436984916,0.4996118343466893,0.5078506398770758,0.4546256091481361,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
