country_code_epi,country_code,country_name,epi_epi,epi_cch,epi_eco,epi_hlt,epi_bdh,epi_agr,epi_fsh,epi_wrs,year,epi_mkp,epi_mpe,epi_mhp
108,BDI,Burundi,30.5,29.4,35.5,22.0,42.3,18.5,,0.0,2022,,,
108,BDI,Burundi,33.5,26.6,49.3,13.1,51.6,45.4,,13.8,2024,,,
132,CPV,Cabo Verde,41.9,51.4,37.9,32.6,12.1,16.7,100.0,24.7,2022,,,
132,CPV,Cabo Verde,38.0,43.4,22.7,54.8,19.2,28.0,70.2,30.3,2024,0.1,100.0,0.0
116,KHM,Cambodia,30.1,23.3,37.5,27.6,65.8,45.9,11.3,0.0,2022,,,
116,KHM,Cambodia,31.2,16.7,44.7,24.3,56.9,64.6,31.8,13.4,2024,63.1,50.0,17.6
120,CMR,Cameroon,30.2,35.4,33.0,14.3,42.0,44.2,10.4,0.0,2022,,,
120,CMR,Cameroon,38.6,39.4,49.3,19.7,45.2,50.4,81.6,12.7,2024,,100.0,75.6
124,CAN,Canada,50.0,28.2,52.5,85.9,62.9,42.1,12.8,67.4,2022,,,
124,CAN,Canada,61.1,48.2,60.4,77.7,52.9,72.3,33.1,77.7,2024,21.7,60.8,26.9
140,CAF,Central African Republic,44.9,49.5,55.9,13.1,80.2,15.9,,0.0,2022,,,
140,CAF,Central African Republic,39.0,31.0,57.9,14.6,71.5,38.3,,12.5,2024,,,
148,TCD,Chad,28.1,18.5,42.3,16.7,62.4,28.4,,0.0,2022,,,
148,TCD,Chad,35.9,21.0,51.1,26.5,60.3,42.7,,12.5,2024,,,
152,CHL,Chile,46.7,35.8,51.2,58.0,61.3,47.4,23.3,71.9,2022,,,
152,CHL,Chile,49.6,41.5,57.4,45.1,42.5,66.3,81.9,85.5,2024,28.4,87.7,37.8
156,CHN,China,28.4,30.4,24.5,32.8,9.4,42.4,17.7,9.4,2022,,,
156,CHN,China,35.4,39.8,35.6,29.7,9.5,69.0,39.6,48.2,2024,24.0,54.8,2.5
170,COL,Colombia,42.4,30.2,49.6,50.3,77.4,31.2,6.6,25.9,2022,,,
170,COL,Colombia,49.7,42.2,57.0,45.7,55.5,59.3,46.2,28.6,2024,97.2,75.6,51.0
174,COM,Comoros,42.5,41.2,49.1,31.1,53.9,37.3,78.4,10.1,2022,,,
174,COM,Comoros,38.2,25.2,45.1,41.4,49.0,50.6,73.4,11.5,2024,70.1,100.0,23.3
188,CRI,Costa Rica,46.3,41.5,46.4,55.4,68.5,21.8,17.5,7.2,2022,,,
188,CRI,Costa Rica,55.5,46.3,62.6,53.7,63.3,57.0,35.7,37.3,2024,86.1,100.0,37.5
384,CIV,Cote d'Ivoire,32.8,25.1,46.0,19.8,58.2,19.7,29.3,1.2,2022,,,
384,CIV,Cote d'Ivoire,42.9,40.9,49.9,33.7,56.2,42.2,46.4,13.6,2024,,100.0,2.4
191,HRV,Croatia,60.2,56.6,65.6,55.7,81.5,68.9,26.0,69.0,2022,,,
191,HRV,Croatia,62.3,56.0,72.3,51.8,69.6,67.9,62.1,74.1,2024,66.7,55.3,33.4
192,CUB,Cuba,47.5,61.1,35.1,47.9,46.1,22.7,13.9,1.7,2022,,,
192,CUB,Cuba,52.5,56.4,50.1,52.1,42.8,47.0,81.4,19.7,2024,80.8,26.4,33.9
196,CYP,Cyprus,58.0,53.8,54.2,73.8,78.3,13.9,6.2,50.0,2022,,,
196,CYP,Cyprus,53.9,42.6,56.5,62.8,51.2,35.7,43.6,70.2,2024,7.8,36.4,16.0
203,CZE,Czech Republic,59.9,52.8,64.5,63.5,83.3,37.4,,61.5,2022,,,
203,CZE,Czech Republic,65.5,52.2,78.0,58.9,78.9,74.0,,79.1,2024,,,
180,COD,Dem. Rep. Congo,36.9,35.1,46.1,21.1,68.6,26.4,,0.1,2022,,,
180,COD,Dem. Rep. Congo,39.5,40.1,54.5,14.0,52.0,39.0,73.0,12.5,2024,,,59.6
208,DNK,Denmark,77.9,92.4,61.3,85.5,76.9,75.7,10.9,100.0,2022,,,
208,DNK,Denmark,67.7,67.1,62.7,77.5,53.1,77.8,44.7,83.3,2024,29.0,21.4,17.3
262,DJI,Djibouti,47.5,73.7,36.2,21.6,10.8,49.0,6.5,0.0,2022,,,
262,DJI,Djibouti,32.3,47.9,24.4,29.2,17.5,65.0,96.4,16.3,2024,0.0,,0.0
212,DMA,Dominica,51.2,68.8,37.6,46.2,54.5,17.8,12.4,0.9,2022,,,
212,DMA,Dominica,49.3,53.6,40.5,57.7,27.7,45.7,49.6,44.5,2024,0.0,78.3,3.2
214,DOM,Dominican Republic,42.2,36.5,51.8,33.0,80.7,23.3,51.4,5.8,2022,,,
214,DOM,Dominican Republic,47.7,37.3,57.1,43.4,57.0,78.7,95.7,24.8,2024,82.6,50.0,43.5
218,ECU,Ecuador,46.5,43.2,49.2,46.9,75.2,23.1,19.2,0.0,2022,,,
218,ECU,Ecuador,51.3,48.5,56.9,44.7,49.8,50.1,69.9,38.5,2024,84.2,47.8,66.3
818,EGY,Egypt,35.5,28.5,43.7,31.5,42.5,38.6,10.6,42.0,2022,,,
818,EGY,Egypt,43.7,40.4,51.5,33.5,47.5,48.9,32.4,55.9,2024,30.2,100.0,27.5
222,SLV,El Salvador,40.8,50.2,33.0,39.3,31.4,20.6,12.0,0.1,2022,,,
222,SLV,El Salvador,41.6,46.4,44.8,30.1,35.5,62.3,21.6,21.5,2024,13.4,84.2,38.9
226,GNQ,Equatorial Guinea,44.8,53.6,44.1,29.5,62.5,25.4,21.9,1.2,2022,,,
226,GNQ,Equatorial Guinea,41.7,45.5,43.8,33.4,45.3,43.7,44.7,35.2,2024,3.5,10.5,25.3
232,ERI,Eritrea,31.7,40.4,30.6,17.5,8.8,14.9,22.7,0.0,2022,,,
232,ERI,Eritrea,29.0,38.1,25.6,24.8,16.6,31.9,66.0,9.5,2024,0.0,,0.0
233,EST,Estonia,61.4,52.0,65.0,71.8,86.0,61.8,40.8,70.4,2022,,,
233,EST,Estonia,75.7,82.8,76.6,65.8,78.8,71.0,70.4,69.6,2024,94.9,69.3,82.6
748,SWZ,Eswatini,44.9,67.9,37.0,17.9,28.7,43.2,,70.0,2022,,,
748,SWZ,Eswatini,38.7,52.9,39.1,22.1,29.8,51.7,,15.9,2024,,,
231,ETH,Ethiopia,31.8,19.9,45.6,25.3,59.2,56.9,,0.1,2022,,,
231,ETH,Ethiopia,36.3,28.9,47.0,25.2,45.8,58.8,,13.2,2024,,,
242,FJI,Fiji,31.3,40.0,21.0,36.3,16.4,11.1,32.3,3.9,2022,,,
242,FJI,Fiji,46.0,51.1,37.2,55.9,17.0,63.0,75.8,42.4,2024,4.3,99.5,16.9
246,FIN,Finland,76.5,83.6,62.0,93.4,71.1,62.7,42.4,100.0,2022,,,
246,FIN,Finland,73.8,71.8,68.1,86.6,59.1,66.6,90.4,82.5,2024,64.9,64.2,44.7
250,FRA,France,62.5,49.5,64.0,83.9,86.5,49.5,19.5,88.0,2022,,,
250,FRA,France,67.0,61.3,67.8,72.3,61.5,72.8,43.2,82.5,2024,48.0,44.1,58.0
266,GAB,Gabon,49.7,56.3,53.3,29.4,85.1,26.2,7.0,0.0,2022,,,
266,GAB,Gabon,53.3,52.8,65.4,32.3,64.0,28.2,47.5,42.9,2024,2.2,45.0,50.0
270,GMB,Gambia,36.4,46.5,34.6,21.3,42.2,36.4,12.5,7.9,2022,,,
270,GMB,Gambia,37.6,37.2,36.4,40.2,38.3,33.7,91.1,11.8,2024,0.7,,56.4
268,GEO,Georgia,39.1,43.6,35.7,37.5,40.4,22.0,13.2,46.6,2022,,,
268,GEO,Georgia,47.3,46.0,50.6,42.9,44.4,26.0,61.2,38.5,2024,46.4,67.3,14.3
276,DEU,Germany,62.4,47.2,66.8,82.0,88.5,60.9,26.9,97.0,2022,,,
276,DEU,Germany,74.5,64.9,80.1,76.1,82.4,78.8,36.4,89.1,2024,85.3,43.2,95.1
288,GHA,Ghana,27.7,23.8,34.7,20.5,52.9,22.1,12.8,3.0,2022,,,
288,GHA,Ghana,36.9,24.7,47.8,32.1,45.0,70.7,58.6,15.9,2024,0.0,56.7,0.1
