country_code_epi,country_code,country_name,epi_epi,epi_cch,epi_eco,epi_hlt,epi_bdh,epi_agr,epi_fsh,epi_wrs,year,epi_mkp,epi_mpe,epi_mhp
616,POL,Poland,64.2,53.5,79.2,50.1,81.4,68.3,57.8,77.5,2024,82.2,58.5,79.5
620,PRT,Portugal,50.4,37.6,49.6,76.6,70.5,23.5,14.7,59.2,2022,,,
620,PRT,Portugal,61.9,55.3,62.4,68.9,59.8,49.7,31.1,85.5,2024,70.1,26.4,30.5
634,QAT,Qatar,33.0,21.5,34.5,51.7,50.1,13.3,5.7,70.0,2022,,,
634,QAT,Qatar,46.8,28.0,56.4,51.3,50.1,35.7,88.6,84.7,2024,42.9,84.9,36.2
178,COG,Republic of Congo,40.1,44.9,45.6,19.7,67.5,34.5,14.9,8.8,2022,,,
178,COG,Republic of Congo,41.6,29.3,65.1,17.7,71.6,48.1,61.0,23.0,2024,,100.0,22.7
642,ROU,Romania,56.0,51.3,65.4,45.2,81.1,53.8,66.3,25.7,2022,,,
642,ROU,Romania,57.3,49.3,68.7,46.6,71.9,67.8,24.5,51.4,2024,98.8,53.7,90.0
643,RUS,Russia,37.5,29.1,39.0,50.6,44.4,48.9,13.7,18.5,2022,,,
643,RUS,Russia,46.7,36.9,48.4,55.4,41.6,62.9,63.0,52.5,2024,11.4,85.6,4.4
646,RWA,Rwanda,32.8,32.6,37.7,22.7,47.6,31.5,,0.0,2022,,,
646,RWA,Rwanda,33.9,32.3,45.8,14.4,49.9,41.6,,10.5,2024,,,
662,LCA,Saint Lucia,49.4,64.8,36.4,47.3,36.7,6.4,26.2,14.0,2022,,,
662,LCA,Saint Lucia,51.1,47.5,45.1,65.0,30.0,39.3,94.0,38.5,2024,12.0,70.2,13.2
670,VCT,Saint Vincent and the Grenadines,53.2,61.0,51.1,42.5,45.6,35.4,72.5,14.0,2022,,,
670,VCT,Saint Vincent and the Grenadines,54.2,49.9,50.6,64.5,35.1,76.9,86.1,41.5,2024,9.6,100.0,10.7
882,WSM,Samoa,36.4,44.2,25.6,44.0,26.9,27.7,15.5,0.9,2022,,,
882,WSM,Samoa,47.1,51.3,37.7,57.8,25.6,57.1,75.9,18.9,2024,7.0,100.0,5.2
678,STP,Sao Tome and Principe,52.9,63.2,54.5,30.1,59.1,18.2,19.7,10.9,2022,,,
678,STP,Sao Tome and Principe,36.2,38.6,32.0,39.8,33.2,31.7,72.6,21.3,2024,10.1,100.0,0.0
682,SAU,Saudi Arabia,37.9,24.8,47.7,42.4,29.3,59.4,19.5,37.7,2022,,,
682,SAU,Saudi Arabia,42.5,33.2,50.0,40.5,45.4,53.8,56.0,56.9,2024,50.4,100.0,5.8
686,SEN,Senegal,33.9,33.6,40.2,21.3,65.1,39.9,23.9,0.5,2022,,,
686,SEN,Senegal,43.8,32.0,52.0,43.1,56.5,71.1,58.4,14.4,2024,8.9,44.9,18.4
688,SRB,Serbia,43.9,41.7,47.0,41.6,46.7,45.3,,0.7,2022,,,
688,SRB,Serbia,49.8,43.6,57.4,43.6,53.4,71.4,,16.0,2024,,,
690,SYC,Seychelles,55.6,53.9,57.8,54.2,76.1,8.8,20.3,19.5,2022,,,
690,SYC,Seychelles,47.9,27.3,47.4,71.7,50.5,58.0,75.8,50.9,2024,94.7,50.5,50.2
694,SLE,Sierra Leone,32.7,35.5,36.4,19.7,51.2,33.2,34.0,0.0,2022,,,
694,SLE,Sierra Leone,39.9,46.8,39.4,33.3,45.3,40.1,75.3,12.5,2024,5.5,100.0,39.1
702,SGP,Singapore,50.9,46.5,42.5,77.0,25.3,22.0,100.0,100.0,2022,,,
702,SGP,Singapore,53.0,41.2,53.8,66.0,35.0,61.3,97.1,90.5,2024,,,0.0
703,SVK,Slovakia,60.0,53.5,66.3,59.0,82.7,68.0,,44.7,2022,,,
703,SVK,Slovakia,65.1,48.9,78.3,60.7,81.9,67.4,,58.3,2024,,,
705,SVN,Slovenia,67.3,62.9,72.7,64.4,84.5,55.0,,92.2,2022,,,
705,SVN,Slovenia,62.4,57.5,67.4,59.2,64.9,56.7,36.4,70.7,2024,12.0,100.0,27.8
90,SLB,Solomon Islands,35.0,63.9,14.6,22.8,8.3,8.6,12.7,1.2,2022,,,
90,SLB,Solomon Islands,42.2,52.8,30.8,50.8,13.2,44.6,84.8,11.7,2024,9.5,99.6,7.3
710,ZAF,South Africa,37.2,34.1,44.2,28.1,54.7,61.1,29.9,21.7,2022,,,
710,ZAF,South Africa,42.7,48.0,49.3,24.4,39.5,57.2,47.8,51.5,2024,35.2,70.3,54.6
410,KOR,South Korea,46.9,30.9,48.8,73.3,61.0,44.1,12.8,76.8,2022,,,
410,KOR,South Korea,50.6,47.0,48.8,58.0,32.8,61.8,34.9,84.3,2024,41.4,27.0,15.1
724,ESP,Spain,56.6,41.3,60.3,78.1,85.8,31.8,16.4,91.1,2022,,,
724,ESP,Spain,64.0,57.2,67.8,65.6,66.9,54.1,33.7,78.7,2024,91.4,33.3,47.4
144,LKA,Sri Lanka,34.7,26.4,40.1,39.0,57.5,31.6,31.8,0.0,2022,,,
144,LKA,Sri Lanka,38.8,44.1,39.7,31.0,32.9,62.5,63.4,13.0,2024,2.5,44.8,1.5
729,SDN,Sudan,27.6,25.1,34.5,17.6,37.0,33.1,16.0,0.0,2022,,,
729,SDN,Sudan,39.1,36.2,43.4,34.7,39.2,48.5,95.8,11.2,2024,95.5,65.6,28.0
740,SUR,Suriname,45.9,50.3,46.6,36.0,59.5,42.2,40.9,13.2,2022,,,
740,SUR,Suriname,56.9,43.6,64.6,59.0,64.8,62.8,38.9,44.2,2024,57.9,100.0,43.4
752,SWE,Sweden,72.7,75.4,60.6,93.1,68.8,74.0,15.3,100.0,2022,,,
752,SWE,Sweden,70.3,62.9,66.8,85.5,60.0,73.2,52.4,84.5,2024,54.8,48.9,47.5
756,CHE,Switzerland,65.9,60.5,60.2,88.4,62.5,41.1,,97.0,2022,,,
756,CHE,Switzerland,67.8,59.4,68.6,76.3,59.8,59.6,,83.4,2024,,,
158,TWN,Taiwan,45.3,38.1,46.4,56.7,58.0,33.8,25.3,6.5,2022,,,
158,TWN,Taiwan,50.1,48.4,51.5,49.9,38.4,60.3,46.4,38.2,2024,2.2,88.3,10.5
762,TJK,Tajikistan,37.1,27.3,55.7,16.6,57.6,50.1,,2.2,2022,,,
762,TJK,Tajikistan,32.3,18.5,47.3,21.9,53.7,57.0,,19.6,2024,,,
834,TZA,Tanzania,34.2,25.3,45.2,28.2,70.1,31.1,19.1,2.9,2022,,,
834,TZA,Tanzania,43.6,32.5,60.7,25.1,65.3,48.5,71.7,18.2,2024,67.5,100.0,37.8
764,THA,Thailand,38.1,36.0,37.3,43.8,51.4,33.0,12.9,1.8,2022,,,
764,THA,Thailand,45.7,46.0,51.3,35.2,45.9,58.8,44.2,21.7,2024,68.3,33.0,28.6
626,TLS,Timor-Leste,35.1,32.8,39.9,29.6,54.9,18.5,33.3,0.6,2022,,,
626,TLS,Timor-Leste,49.9,65.2,47.9,36.4,44.4,48.8,95.5,20.2,2024,59.9,100.0,17.7
768,TGO,Togo,34.0,34.4,41.1,18.2,59.2,39.2,7.1,0.0,2022,,,
768,TGO,Togo,35.7,28.5,47.1,25.5,54.8,40.3,58.9,12.5,2024,,,0.0
776,TON,Tonga,43.8,46.0,40.9,45.6,31.9,34.1,54.8,,2022,,,
776,TON,Tonga,40.4,32.5,34.3,58.4,15.7,49.9,95.7,35.1,2024,0.2,100.0,3.7
780,TTO,Trinidad and Tobago,47.8,49.3,44.0,52.7,65.3,4.1,16.5,3.0,2022,,,
780,TTO,Trinidad and Tobago,52.5,36.1,49.6,77.2,49.5,22.5,58.1,12.8,2024,0.0,100.0,3.4
788,TUN,Tunisia,40.7,48.3,32.7,43.2,26.4,24.8,22.1,43.0,2022,,,
788,TUN,Tunisia,45.3,41.4,47.3,46.6,38.1,40.2,50.3,74.5,2024,15.7,100.0,25.7
792,TUR,Turkey,26.3,21.5,20.3,47.8,7.5,39.1,9.5,30.5,2022,,,
792,TUR,Turkiye,37.2,37.0,34.7,41.9,20.0,59.2,49.6,67.9,2024,2.1,61.5,21.0
795,TKM,Turkmenistan,37.0,30.2,40.7,42.3,22.9,51.8,,9.8,2022,,,
795,TKM,Turkmenistan,40.6,29.6,40.6,54.0,39.2,48.1,,39.2,2024,72.8,50.0,12.5
800,UGA,Uganda,35.8,26.8,49.2,24.9,75.8,21.3,,0.4,2022,,,
800,UGA,Uganda,35.8,35.7,45.6,18.5,51.9,48.3,,15.0,2024,,,
804,UKR,Ukraine,49.6,54.7,48.0,43.6,61.7,44.7,23.7,14.1,2022,,,
804,UKR,Ukraine,54.6,53.9,58.9,47.9,53.8,76.4,33.4,40.8,2024,81.5,44.1,34.2
784,ARE,United Arab Emirates,52.4,34.0,70.4,49.4,80.3,17.4,26.2,92.1,2022,,,
784,ARE,United Arab Emirates,51.6,35.6,62.4,51.3,59.0,37.5,80.0,89.8,2024,90.2,100.0,31.1
826,GBR,United Kingdom,77.7,91.5,62.3,83.9,81.5,45.0,17.0,99.0,2022,,,
826,GBR,United Kingdom,72.6,67.8,72.8,78.1,71.5,76.9,38.1,78.3,2024,80.0,70.4,54.2
840,USA,United States of America,51.1,37.2,51.4,76.8,60.6,61.4,17.2,58.9,2022,,,
840,USA,United States of America,57.2,50.1,53.5,72.3,40.7,83.0,46.5,63.9,2024,58.7,76.9,46.1
858,URY,Uruguay,37.4,37.0,25.8,62.7,17.8,70.7,5.7,2.1,2022,,,
858,URY,Uruguay,44.1,40.6,39.0,57.6,28.9,58.2,34.4,34.7,2024,15.1,54.2,22.1
860,UZB,Uzbekistan,38.2,41.3,41.0,26.5,33.8,47.2,,0.0,2022,,,
860,UZB,Uzbekistan,42.6,37.5,48.4,38.2,44.0,57.4,,60.7,2024,,,
548,VUT,Vanuatu,36.9,50.1,28.0,30.4,20.0,33.0,21.0,4.5,2022,,,
548,VUT,Vanuatu,45.0,53.7,37.0,49.5,18.1,42.7,84.0,19.1,2024,0.6,98.1,1.8
862,VEN,Venezuela,46.4,42.1,52.0,42.9,71.5,43.6,27.7,6.4,2022,,,
862,VEN,Venezuela,53.3,43.5,61.7,50.1,61.3,46.1,82.5,32.0,2024,10.3,76.4,14.9
704,VNM,Viet Nam,20.1,10.1,22.1,35.1,27.9,39.6,24.2,0.3,2022,,,
704,VNM,Viet Nam,24.6,17.9,27.8,27.0,24.8,73.0,29.4,16.1,2024,27.5,40.0,7.0
894,ZMB,Zambia,38.4,25.6,58.2,21.2,91.0,53.2,,4.5,2022,,,
894,ZMB,Zambia,46.7,39.4,67.0,19.1,83.7,44.1,,17.3,2024,,,
716,ZWE,Zimbabwe,46.2,41.9,61.7,21.9,83.7,42.8,,37.2,2022,,,
716,ZWE,Zimbabwe,51.6,53.5,66.3,23.0,70.2,35.5,,55.5,2024,,,
